,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Athletic Bilbao Feminino,Valência Feminino,2,2,"[' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 7. Díez Tapia ', ' 12. Oguiza ', ' 19. Vazquez ', ' 3. Vicente ', ' 21. Gimber Acosta ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 7. Díez Tapia ', ' 12. Oguiza ', ' 19. Vazquez ', ' 3. Vicente ', ' 21. Gimber Acosta ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[{'time': 5, 'player_1': 'Asun Martínez', 'player_2': 'Candela Andújar', 'event': 'Gol'}, {'time': 27, 'player_1': 'Berta Pujadas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Irene Oguiza', 'player_2': 'Nekane Díez', 'event': 'Gol'}, {'time': 46, 'player_1': 'Garazi Murua', 'player_2': 'Vanesa Gimber', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Irene Oguiza', 'player_2': 'Nekane Díez', 'event': 'Gol'}, {'time': 57, 'player_1': 'Asun Martínez', 'player_2': 'Iina Salmi', 'event': 'Gol'}, {'time': 67, 'player_1': 'Yulema Corres', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Eunate Arraiza', 'player_2': 'Ainhoa Vicente', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Leyre Monente', 'player_2': 'Nekane Díez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Paula Arana', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Berta Pujadas', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Julia Aguado', 'player_2': 'Asun Martínez', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 94, 'player_1': 'Oihane Hernández', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
1,26/03/22,Villarreal Feminino,Athletic Bilbao Feminino,1,1,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 20. Campo Franco ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 5. Giménez Gamboa ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 20. Campo Franco ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 5. Giménez Gamboa ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[{'time': 9, 'player_1': 'Itxaso Uriarte', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Cienfu', 'player_2': 'Yenifer Giménez', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Lucía García', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Erika Vazquez', 'player_2': 'Eunate Arraiza', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Peke Barea', 'player_2': 'Itxaso Uriarte', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Clara Pinedo', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Raquel Pinel', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Zaira Flores', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Salma Paralluelo', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Estefa', 'player_2': 'Lara Mata', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
2,12/03/22,Athletic Bilbao Feminino,Madrid CFF,2,1,"[' 19. Vazquez ', ' 17. García ', ' 9. Corres Somovilla ', ' 16. Azkona Fuente ', ' 28. Pinedo Castresana ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 19. Vazquez ', ' 17. García ', ' 9. Corres Somovilla ', ' 16. Azkona Fuente ', ' 28. Pinedo Castresana ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 3, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 43, 'player_1': 'Yulema Corres', 'player_2': '', 'event': 'Gol'}, {'time': 44, 'player_1': 'Ane Azkona', 'player_2': 'Irene Oguiza', 'event': 'Gol'}, {'time': 46, 'player_1': 'Nekane Díez', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Erika Vazquez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Laura Domínguez', 'player_2': 'Itziar Pinillos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Lucía Pardo', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Nuria Martinez', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Itxaso Uriarte', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Gabi Nunes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 76, 'player_1': 'Eunate Arraiza', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Mariana Cerro', 'player_2': 'Clara Pinedo', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Rikke Madsen', 'player_2': 'Lauren', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
3,05/03/22,Real Madrid Feminino,Athletic Bilbao Feminino,2,0,"[' 9. Asllani ', ' 22. del Castillo Belvide ', ' 10. Gonzalez ', ' 8. Oroz Areta ', ' 6. Kaci ', ' 21. Zornoza Sánchez ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 9. Asllani ', ' 22. del Castillo Belvide ', ' 10. Gonzalez ', ' 8. Oroz Areta ', ' 6. Kaci ', ' 21. Zornoza Sánchez ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 68, 'player_1': 'Nahikari García', 'player_2': 'Kosovare Asllani', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Teresa Abelleira', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Peke Barea', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Gol'}, {'time': 78, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Mariana Cerro', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Paula Arana', 'player_2': 'Eunate Arraiza', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Nahikari García', 'player_2': 'Claudia Zornoza', 'event': 'Gol'}, {'time': 90, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Claudia', 'player_2': 'Ivana Andrés', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Olga Carmona', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '05/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
4,01/03/22,Athletic Bilbao Feminino,Sevilha Feminino,0,1,"[' 17. García ', ' 20. Arana Montes ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 17. García ', ' 20. Arana Montes ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 6, 'player_1': 'Débora García', 'player_2': '', 'event': 'Gol'}, {'time': 27, 'player_1': 'Itzel González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 41, 'player_1': 'Klára Cahynová', 'player_2': 'Natalia Gaitan', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Eunate Arraiza', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Erika Vazquez', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Clara Pinedo', 'player_2': 'Itxaso Uriarte', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Javiera Toro', 'player_2': 'Almudena Rivero', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Karen Araya', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 70, 'player_1': 'Inma Gabarro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Elisa del Estal', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Javiera Toro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 81, 'player_1': 'Nekane Díez', 'player_2': 'Ane Azkona', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '01/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
5,13/02/22,Athletic Bilbao Feminino,Barcelona Feminino,0,3,"[' 17. García ', ' 14. Arraiza ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 8. Unzue Urdaniz ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 17. García ', ' 14. Arraiza ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 8. Unzue Urdaniz ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 35, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 41, 'player_1': 'Marta Torrejón', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Irene Oguiza', 'player_2': 'Marta Unzue', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Asisat Oshoala', 'player_2': 'Marta Torrejón', 'event': 'Gol'}, {'time': 62, 'player_1': 'Mariona Caldentey', 'player_2': '', 'event': 'Gol'}, {'time': 63, 'player_1': 'Fridolina Rolfo', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Aitana Bonmatí', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Mariona Caldentey', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Claudia Pina', 'player_2': 'Mariona Caldentey', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Paula Arana', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Erika Vazquez', 'player_2': 'Ane Azkona', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 2'}]"
6,09/02/22,Athletic Bilbao Feminino,Atlético de Madrid Feminino,2,1,"[' 16. Azkona Fuente ', ' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 11. Hernández Zurbano ', ' 6. Valdezate Cabornero ', ' 4. Murua Astorkiza ', ' 3. Vicente ', ' 24. Quiñones ']","[' 16. Azkona Fuente ', ' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 11. Hernández Zurbano ', ' 6. Valdezate Cabornero ', ' 4. Murua Astorkiza ', ' 3. Vicente ', ' 24. Quiñones ']","[{'time': 10, 'player_1': 'Lucía García', 'player_2': '', 'event': 'Gol'}, {'time': 24, 'player_1': 'Thembi Kgatlana', 'player_2': 'Estefania Banini', 'event': 'Gol'}, {'time': 67, 'player_1': 'Deyna Castellanos', 'player_2': 'Thembi Kgatlana', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ludmila', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Peke Barea', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Sheila García', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Ane Azkona', 'player_2': 'Lucía García', 'event': 'Gol'}, {'time': 79, 'player_1': 'Nekane Díez', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Itxaso Uriarte', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Barbara Latorre', 'player_2': 'Bénédicte Simon', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
7,06/02/22,Universidade Cajasol Trigueros,Athletic Bilbao Feminino,2,0,"[' 12. Keane ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 9. Ramírez Ramírez ', ' 16. Castelló Oliver ', ' 4. Santana ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 1. Ashurst ']","[' 12. Keane ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 9. Ramírez Ramírez ', ' 16. Castelló Oliver ', ' 4. Santana ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 1. Ashurst ']","[{'time': 9, 'player_1': 'Ana Marcos', 'player_2': 'Mayra Ramírez', 'event': 'Gol'}, {'time': 39, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Paula Arana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Gol'}, {'time': 73, 'player_1': 'Garazi Murua', 'player_2': 'Lucía García', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Erika Vazquez', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Ane Azkona', 'player_2': 'Oihane Hernández', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Paula Romero', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Clara Pinedo', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
8,02/02/22,Athletic Bilbao Feminino,Eibar Feminino,3,1,"[' 20. Arana Montes ', ' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 20. Arana Montes ', ' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 7, 'player_1': 'Lucía García', 'player_2': 'Paula Arana', 'event': 'Gol'}, {'time': 21, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Gol'}, {'time': 25, 'player_1': 'Ane Azkona', 'player_2': 'Paula Arana', 'event': 'Gol'}, {'time': 28, 'player_1': 'Oihane Hernández', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 39, 'player_1': 'Natalie Muth', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 41, 'player_1': 'Racheal Kundananji', 'player_2': 'Kuki', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ane Campos', 'player_2': 'Arola Aparicio', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Kuki', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Mariana Cerro', 'player_2': 'Marta Unzue', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Nekane Díez', 'player_2': 'Ane Azkona', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Eunate Arraiza', 'player_2': 'Oihane Hernández', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Sheila Elorza', 'player_2': 'Queralt Gómez', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Puyi', 'player_2': 'Kuki', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Erika Vazquez', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Honoka Yonei', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Sara Ortega', 'player_2': 'Peke Barea', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 2'}]"
9,30/01/22,Athletic Bilbao Feminino,Rayo Valhecano Feminino,2,1,"[' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 28. Pinedo Castresana ', ' 14. Arraiza ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 28. Pinedo Castresana ', ' 14. Arraiza ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[{'time': 16, 'player_1': 'Erika Vazquez', 'player_2': 'Pênalti', 'event': ''}, {'time': 34, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Eunate Arraiza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 70, 'player_1': 'Peke Barea', 'player_2': 'Ane Azkona', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Mariana Cerro', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Oihane Valdezate', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Millene Cabral', 'player_2': 'Slađana Bulatovic', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Gol'}, {'time': 84, 'player_1': 'Leles', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Nekane Díez', 'player_2': 'Clara Pinedo', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Nekane Díez', 'player_2': 'Peke Barea', 'event': 'Gol'}, {'time': 88, 'player_1': 'Leles', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
