,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Real Betis Feminino,Atlético de Madrid Feminino,1,1,"[' 20. Babajide ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 4. González Rosa ', ' 15. Asantewaa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[' 20. Babajide ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 4. González Rosa ', ' 15. Asantewaa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 12, 'player_1': 'Maitane López', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Ludmila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 23, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 53, 'player_1': 'Amanda Sampedro', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Deyna Castellanos', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 67, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Laura Moreno', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Mari Paz Vilas', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Laurina', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
1,26/03/22,Atlético de Madrid Feminino,Valência Feminino,3,0,"[' 9. Castellanos Naujenis ', ' 8. Ludmila ', ' 17. Latorre ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 9. Castellanos Naujenis ', ' 8. Ludmila ', ' 17. Latorre ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 20, 'player_1': 'Merel Van Dongen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Laia Aleixandri', 'player_2': '', 'event': 'Gol'}, {'time': 44, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sheila García', 'player_2': 'Deyna Castellanos', 'event': 'Gol'}, {'time': 48, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
2,13/03/22,Rayo Valhecano Feminino,Atlético de Madrid Feminino,0,0,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 2. Hayden ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 20. Struck ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 2. Hayden ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 20. Struck ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[{'time': 41, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Thembi Kgatlana', 'player_2': 'Deyna Castellanos', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Millene Cabral', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Slađana Bulatovic', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Amanda Sampedro', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Silvia Meseguer', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Ludmila', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 74, 'player_1': 'LaiaBallesté', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Sheila García', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
3,09/03/22,Atlético de Madrid Feminino,Real Madrid Feminino,0,2,"[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 6. Sampedro ', ' 10. Santos ', ' 15. Meseguer ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 7. López Millán ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 6. Sampedro ', ' 10. Santos ', ' 15. Meseguer ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 7. López Millán ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 30, 'player_1': 'Caroline Møller', 'player_2': 'Athenea del Castillo', 'event': 'Gol'}, {'time': 54, 'player_1': 'Esther Gonzalez', 'player_2': 'Caroline Møller', 'event': 'Gol'}, {'time': 69, 'player_1': 'Ludmila', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Aissatou Tounkara', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Lucía Rodríguez', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Maite Oroz', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Laia Aleixandri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Kosovare Asllani', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 89, 'player_1': 'Teresa Abelleira', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
4,06/03/22,Atlético de Madrid Feminino,UDG Tenerife,4,1,"[' 17. Latorre ', ' 16. Ajibade ', ' 22. Banini ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 17. Latorre ', ' 16. Ajibade ', ' 22. Banini ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 7, 'player_1': 'Aleksandra Zaremba', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 8, 'player_1': 'Maitane López', 'player_2': 'Leicy Santos', 'event': 'Gol'}, {'time': 9, 'player_1': 'Silvia Meseguer', 'player_2': 'Carmen Menayo', 'event': 'Substituição'}, {'time': 27, 'player_1': 'Amanda Sampedro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 29, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Natalia Ramos', 'event': 'Gol'}, {'time': 34, 'player_1': 'Leicy Santos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 41, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Estefania Banini', 'player_2': 'Silvia Meseguer', 'event': 'Gol'}, {'time': 48, 'player_1': 'Cristina Cubedo', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 46, 'player_1': 'Silvia Doblado', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 59, 'player_1': 'Sara Lopez', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Beatrice Goad', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Noelia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Amanda Sampedro', 'player_2': 'Pênalti', 'event': ''}, {'time': 65, 'player_1': 'Aissatou Tounkara', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Deyna Castellanos', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Gisela Robledo', 'player_2': 'Pisco', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 80, 'player_1': 'Hanna Lundkvist', 'player_2': 'Sheila García', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Virginia Torrecilla', 'player_2': 'Maitane López', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Hanna Lundkvist', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sydny Nasello', 'player_2': 'Aleksandra Zaremba', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Segundo cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
5,03/03/22,Universidade Cajasol Trigueros,Atlético de Madrid Feminino,2,1,"[' 12. Keane ', ' 17. Pizarro Mingo ', ' 20. Edgren ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 13. Dolan ']","[' 12. Keane ', ' 17. Pizarro Mingo ', ' 20. Edgren ', ' 8. Kanteh Cham ', ' 4. Santana ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 15. Ojeda ', ' 14. García ', ' 13. Dolan ']","[{'time': 37, 'player_1': 'Hannah Keane', 'player_2': 'Amanda Edgren', 'event': 'Gol'}, {'time': 51, 'player_1': 'Ana Carol', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Freja Abildå', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Mayra Ramírez', 'player_2': 'Sandra Castelló', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Gol'}, {'time': 65, 'player_1': 'Ana Marcos', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Ludmila', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Estefania Banini', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Barbara Latorre', 'player_2': 'Thembi Kgatlana', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 70, 'player_1': 'Judith Luzuriaga', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Aissatou Tounkara', 'player_2': 'Hanna Lundkvist', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Ana Marcos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Emily Dolan', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '03/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Nuevo Colombino'}]"
6,13/02/22,Atlético de Madrid Feminino,Sevilha Feminino,5,0,"[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 15. Meseguer ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 15. Meseguer ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 17, 'player_1': 'Lucía', 'player_2': 'Nazareth Martín', 'event': 'Substituição'}, {'time': 20, 'player_1': 'Estefania Banini', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 26, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 37, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Amanda Sampedro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Almudena Rivero', 'player_2': 'Grace Kazadi', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Silvia Meseguer', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Thembi Kgatlana', 'player_2': 'Maitane López', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Karen Araya', 'player_2': 'Rosa Otermin', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Inma Gabarro', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Bicho', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Ludmila', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Michele Vasconcelos', 'player_2': 'Nagore Calderón', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Hanna Lundkvist', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Virginia Torrecilla', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Isabella Echeverri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Ludmila', 'player_2': '', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
7,09/02/22,Athletic Bilbao Feminino,Atlético de Madrid Feminino,2,1,"[' 16. Azkona Fuente ', ' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 11. Hernández Zurbano ', ' 6. Valdezate Cabornero ', ' 4. Murua Astorkiza ', ' 3. Vicente ', ' 24. Quiñones ']","[' 16. Azkona Fuente ', ' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 11. Hernández Zurbano ', ' 6. Valdezate Cabornero ', ' 4. Murua Astorkiza ', ' 3. Vicente ', ' 24. Quiñones ']","[{'time': 10, 'player_1': 'Lucía García', 'player_2': '', 'event': 'Gol'}, {'time': 24, 'player_1': 'Thembi Kgatlana', 'player_2': 'Estefania Banini', 'event': 'Gol'}, {'time': 67, 'player_1': 'Deyna Castellanos', 'player_2': 'Thembi Kgatlana', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ludmila', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Peke Barea', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Sheila García', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Ane Azkona', 'player_2': 'Lucía García', 'event': 'Gol'}, {'time': 79, 'player_1': 'Nekane Díez', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Itxaso Uriarte', 'player_2': 'Irene Oguiza', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Barbara Latorre', 'player_2': 'Bénédicte Simon', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
8,06/02/22,Real Sociedad Feminino,Atlético de Madrid Feminino,2,2,"[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 17. Poljak ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 5. Torre Larrañaga ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[' 16. García Segura ', ' 9. Franssi ', ' 18. Ramírez Gorgoso ', ' 17. Poljak ', ' 7. Sarriegi Isasa ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 19. Rábano Blanco ', ' 5. Torre Larrañaga ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[{'time': 7, 'player_1': 'Leicy Santos', 'player_2': '', 'event': 'Gol'}, {'time': 15, 'player_1': 'Nerea Eizagirre', 'player_2': 'Amaiur Sarriegi', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana Tejada', 'player_2': 'Maddi Torre', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Ana Tejada', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Bénédicte Simon', 'player_2': 'Laia Aleixandri', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Gabriela García', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 67, 'player_1': 'Synne Jensen', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Estefania Banini', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ludmila', 'player_2': 'Deyna Castellanos', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Ludmila', 'player_2': 'Thembi Kgatlana', 'event': 'Gol'}, {'time': 84, 'player_1': 'Gemma Gili', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Mirari Uria', 'player_2': 'Allegra Poljak', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
9,02/02/22,Atlético de Madrid Feminino,Madrid CFF,3,2,"[' 10. Santos ', ' 16. Ajibade ', ' 6. Sampedro ', ' 15. Meseguer ', ' 7. López Millán ', ' 22. Banini ', ' 11. Menayo Montero ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 10. Santos ', ' 16. Ajibade ', ' 6. Sampedro ', ' 15. Meseguer ', ' 7. López Millán ', ' 22. Banini ', ' 11. Menayo Montero ', ' 19. Tounkara ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 7, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Amanda Sampedro', 'event': 'Gol'}, {'time': 17, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 21, 'player_1': 'Aissatou Tounkara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 22, 'player_1': 'Geyse', 'player_2': 'Pênalti', 'event': ''}, {'time': 40, 'player_1': 'Rasheedat Ajibade', 'player_2': '', 'event': 'Gol'}, {'time': 56, 'player_1': 'Amanda Sampedro', 'player_2': 'Pênalti', 'event': ''}, {'time': 62, 'player_1': 'Bénédicte Simon', 'player_2': 'Aissatou Tounkara', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Michelle De Jongh', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Victoria', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Thembi Kgatlana', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Barbara Latorre', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Gabi Nunes', 'player_2': '', 'event': 'Gol'}, {'time': 80, 'player_1': 'Vicky López', 'player_2': 'Geyse', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Ebba Hed', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Amanda Sampedro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 85, 'player_1': 'Deyna Castellanos', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Laura Domínguez', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
