,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Eibar Feminino,Deportivo Alavés Feminino,2,0,"[' 23. Kundananji ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 7. Altonaga Echeverria ', ' 22. Elorza Hernández ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 1. García ']","[' 23. Kundananji ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 7. Altonaga Echeverria ', ' 22. Elorza Hernández ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 1. García ']","[{'time': 25, 'player_1': 'Elba Verges', 'player_2': 'Carmen Álvarez', 'event': 'Gol'}, {'time': 45, 'player_1': 'Sanadri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Sara Carrillo', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Carmen Álvarez', 'player_2': '', 'event': 'Gol'}, {'time': 53, 'player_1': 'Urru', 'player_2': 'Cristina Auñon', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Lice Chamorro', 'player_2': 'Sanadri', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Arola Aparicio', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Jordan Clark', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Elene Errasti', 'player_2': 'Ane Miren', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Ruth Álvarez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Maria Llompart', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Nerea Gantxegi', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
1,30/03/22,Levante Feminino,Deportivo Alavés Feminino,3,0,"[' 9. Benítez Iannuzzi ', ' 14. Férez Méndez ', ' 23. Falcón ', ' 2. González Lombídez ', ' 15. Pinto ', ' 6. Toletti ', ' 16. Soares Paz ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 20. Tomás Serer ', ' 13. Părăluță ']","[' 9. Benítez Iannuzzi ', ' 14. Férez Méndez ', ' 23. Falcón ', ' 2. González Lombídez ', ' 15. Pinto ', ' 6. Toletti ', ' 16. Soares Paz ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 20. Tomás Serer ', ' 13. Părăluță ']","[{'time': 21, 'player_1': 'Silvia Lloris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Carol', 'player_2': 'Sandie Toletti', 'event': 'Gol'}, {'time': 58, 'player_1': 'Alba Redondo', 'player_2': 'Érika González', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Nataša Andonova', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Irene Guerrero', 'player_2': 'Tatiana Pinto', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Ane Miren', 'player_2': 'Sanadri', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Lice Chamorro', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Miriam Diéguez', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Gio', 'player_2': 'Carol', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Jordan Clark', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Núria Mendoza', 'player_2': 'Irene Guerrero', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Paula Tomás', 'player_2': 'Jucinara', 'event': 'Gol'}, {'time': 89, 'player_1': 'Mery', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Andrea Falcón', 'player_2': 'Sandie Toletti', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
2,26/03/22,Deportivo Alavés Feminino,Rayo Valhecano Feminino,3,1,"[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 10. Aznar Martí ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 20. Nevado Gómez ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 10. Aznar Martí ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 20. Nevado Gómez ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[{'time': 16, 'player_1': 'Isadora Freitas', 'player_2': 'Pauleta', 'event': 'Gol'}, {'time': 50, 'player_1': 'Lice Chamorro', 'player_2': 'Carla Armengol', 'event': 'Gol'}, {'time': 56, 'player_1': 'Miku Ito', 'player_2': 'Ane Miren', 'event': 'Gol'}, {'time': 66, 'player_1': 'Slađana Bulatovic', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ane Miren', 'player_2': 'Lice Chamorro', 'event': 'Gol'}, {'time': 71, 'player_1': 'Millene Cabral', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Gema Soliveres', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sara Carrillo', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Mery', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Claudia Cabezas', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Pilar García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 92, 'player_1': 'Jordan Clark', 'player_2': 'Miku Ito', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
3,06/03/22,Deportivo Alavés Feminino,Barcelona Feminino,0,6,"[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 6. Soliveres Cholbi ', ' 14. Diéguez de Oña ', ' 10. Aznar Martí ', ' 12. Facila ', ' 21. Martínez Viota ', ' 2. García Majarín ', ' 5. Urruzola Bermúdez ', ' 4. Gastearena Artola ', ' 1. Cornejo Vega ']","[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 6. Soliveres Cholbi ', ' 14. Diéguez de Oña ', ' 10. Aznar Martí ', ' 12. Facila ', ' 21. Martínez Viota ', ' 2. García Majarín ', ' 5. Urruzola Bermúdez ', ' 4. Gastearena Artola ', ' 1. Cornejo Vega ']","[{'time': 13, 'player_1': 'Claudia Pina', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 29, 'player_1': 'Fridolina Rolfo', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 33, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 35, 'player_1': 'Ona Baradad', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 38, 'player_1': 'Melani Serrano', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Jennifer Hermoso', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Aitana Bonmatí', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Caroline Graham Hansen', 'player_2': 'Ona Baradad', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Jordan Clark', 'player_2': 'Gema Soliveres', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Mery', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 63, 'player_1': 'María León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Claudia Pina', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 68, 'player_1': 'Gaste', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 71, 'player_1': 'María Pérez', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Claudia Pina', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 74, 'player_1': 'Ane Miren', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Miku Ito', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Carla Armengol', 'player_2': 'Gaste', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
4,13/02/22,Valência Feminino,Deportivo Alavés Feminino,1,0,"[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 6. Guerrero ', ' 1. Salón ']","[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 6. Guerrero ', ' 1. Salón ']","[{'time': 22, 'player_1': 'Gema Soliveres', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Bea Beltrán', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 30, 'player_1': 'Iina Salmi', 'player_2': 'Pênalti', 'event': ''}, {'time': 46, 'player_1': 'Alba', 'player_2': 'Gema Soliveres', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Asun Martínez', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Miku Ito', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Sara Carrillo', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Garazi Facila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Olga San Nicolas', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sanadri', 'player_2': 'Garazi Facila', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Abdulai Mukarama', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Elena Gil', 'player_2': 'Candela Andújar', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
5,06/02/22,Deportivo Alavés Feminino,Sevilha Feminino,1,1,"[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 12. Facila ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 2. García Majarín ', ' 11. Armengol Joaniquet ', ' 1. Cornejo Vega ']","[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 12. Facila ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 2. García Majarín ', ' 11. Armengol Joaniquet ', ' 1. Cornejo Vega ']","[{'time': 29, 'player_1': 'Jessica Martínez', 'player_2': 'Antionette Payne', 'event': 'Gol'}, {'time': 37, 'player_1': 'Sara Carrillo', 'player_2': 'Lice Chamorro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ane Miren', 'player_2': 'Vera Martínez', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Cristina Auñon', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Karen Araya', 'player_2': 'Klára Cahynová', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Rosa Otermin', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Elisa del Estal', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Antionette Payne', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 80, 'player_1': 'Sanadri', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Michele Vasconcelos', 'player_2': 'Antionette Payne', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
6,02/02/22,Real Betis Feminino,Deportivo Alavés Feminino,4,1,"[' 11. Ligero Fernández ', ' 15. Asantewaa ', ' 5. Valle López ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 3. Medina Martín ', ' 1. Thalmann ']","[' 11. Ligero Fernández ', ' 15. Asantewaa ', ' 5. Valle López ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 3. Medina Martín ', ' 1. Thalmann ']","[{'time': 6, 'player_1': 'Dorine', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 16, 'player_1': 'Grace Asantewaa', 'player_2': '', 'event': 'Gol'}, {'time': 52, 'player_1': 'Ángela Sosa', 'player_2': 'Andrea Medina', 'event': 'Gol'}, {'time': 55, 'player_1': 'Lice Chamorro', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Carla Armengol', 'player_2': 'Urru', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Lucía León', 'player_2': 'Andrea Medina', 'event': 'Gol'}, {'time': 75, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Rinsola Babajide', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 78, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Gol'}, {'time': 80, 'player_1': 'Sanadri', 'player_2': 'Jordan Clark', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Gema Soliveres', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Stefanie da Eira', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Laura Moreno', 'player_2': 'Andrea Medina', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Ane Miren', 'player_2': 'Sanadri', 'event': 'Gol'}, {'time': 84, 'player_1': 'Vera Martínez', 'player_2': 'Osinachi Ohale', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Victoria Benitez', 'player_2': 'Dorine', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Leire Peña', 'player_2': 'Paula Perea', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
7,30/01/22,Deportivo Alavés Feminino,Atlético de Madrid Feminino,1,1,"[' 9. San Adrián Rocandio ', ' 19. Carrillo ', ' 20. Nevado Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 22. Sánchez Auñon ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 5. Urruzola Bermúdez ', ' 1. Cornejo Vega ']","[' 9. San Adrián Rocandio ', ' 19. Carrillo ', ' 20. Nevado Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 22. Sánchez Auñon ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 5. Urruzola Bermúdez ', ' 1. Cornejo Vega ']","[{'time': 49, 'player_1': 'Sara Carrillo', 'player_2': 'Nerea Nevado', 'event': 'Gol'}, {'time': 59, 'player_1': 'Silvia Meseguer', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Carmen Menayo', 'player_2': 'Hanna Lundkvist', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Leicy Santos', 'player_2': 'Ludmila', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Ane Miren', 'player_2': 'Sanadri', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Urru', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 81, 'player_1': 'Sheila García', 'player_2': '', 'event': 'Gol'}, {'time': 86, 'player_1': 'Abdulai Mukarama', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Gema Soliveres', 'player_2': 'Miku Ito', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
8,26/01/22,Espanyol Feminino,Deportivo Alavés Feminino,2,0,"[' 10. Szymanowski Alonso ', ' 24. Fernández Parra ', ' 19. de Clemente Santos ', ' 12. Lareo Polanco ', ' 8. Yamamoto ', ' 17. Marín de la Fuente ', ' 11. Extremera Sola ', ' 23. Trancoso Jordán ', ' 5. Pérez Almiñana ', ' 22. Caracas González ', ' 13. Myllyoja ']","[' 10. Szymanowski Alonso ', ' 24. Fernández Parra ', ' 19. de Clemente Santos ', ' 12. Lareo Polanco ', ' 8. Yamamoto ', ' 17. Marín de la Fuente ', ' 11. Extremera Sola ', ' 23. Trancoso Jordán ', ' 5. Pérez Almiñana ', ' 22. Caracas González ', ' 13. Myllyoja ']","[{'time': 6, 'player_1': 'Maya Yamamoto', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 32, 'player_1': 'Manuela Lareo', 'player_2': 'Maya Yamamoto', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sanadri', 'player_2': 'Abdulai Mukarama', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Osinachi Ohale', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 54, 'player_1': 'Judit Pablos', 'player_2': 'Nora Fernández', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Sara Carrillo', 'player_2': 'Gaste', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Miku Ito', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Adriana Martín', 'player_2': 'Manuela Lareo', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Dana Yazbeck', 'player_2': 'Clara de Clemente', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Mery', 'player_2': 'Nerea Nevado', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Marta Turmo', 'player_2': 'Maya Yamamoto', 'event': 'Substituição'}, {'time': 79, 'player_1': 'JúliaGuerra Peiró', 'player_2': 'Laia Jordán', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Jordan Clark', 'player_2': 'Carla Armengol', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciutat Esportiva Dani Jarque'}]"
9,16/01/22,UDG Tenerife,Deportivo Alavés Feminino,1,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 5. Southby Goad ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 5. Southby Goad ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[{'time': 18, 'player_1': 'Lice Chamorro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Ange Nguessan', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Gema Soliveres', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Gisela Robledo', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Sanadri', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Nerea Nevado', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Aithiara Carballo', 'player_2': 'Beatrice Goad', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Miriam Diéguez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Natalia Ramos', 'player_2': 'Pênalti', 'event': ''}, {'time': 93, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 94, 'player_1': 'Nerea Nevado', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '16/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
