,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Eibar Feminino,Deportivo Alavés Feminino,2,0,"[' 23. Kundananji ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 7. Altonaga Echeverria ', ' 22. Elorza Hernández ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 1. García ']","[' 23. Kundananji ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 7. Altonaga Echeverria ', ' 22. Elorza Hernández ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 1. García ']","[{'time': 25, 'player_1': 'Elba Verges', 'player_2': 'Carmen Álvarez', 'event': 'Gol'}, {'time': 45, 'player_1': 'Sanadri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Sara Carrillo', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Carmen Álvarez', 'player_2': '', 'event': 'Gol'}, {'time': 53, 'player_1': 'Urru', 'player_2': 'Cristina Auñon', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Lice Chamorro', 'player_2': 'Sanadri', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Arola Aparicio', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Jordan Clark', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Elene Errasti', 'player_2': 'Ane Miren', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Ruth Álvarez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Maria Llompart', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Nerea Gantxegi', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
1,26/03/22,Sevilha Feminino,Eibar Feminino,4,1,"[' 8. Martínez Villagra ', ' 10. Gabarro ', ' 18. Cahynová ', ' 11. Oyedupe Payne ', ' 16. Rivero ', ' 12. Araya ', ' 14. Otermin Abella ', ' 26. Merida Cañete ', ' 23. Gaitan ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[' 8. Martínez Villagra ', ' 10. Gabarro ', ' 18. Cahynová ', ' 11. Oyedupe Payne ', ' 16. Rivero ', ' 12. Araya ', ' 14. Otermin Abella ', ' 26. Merida Cañete ', ' 23. Gaitan ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[{'time': 14, 'player_1': 'Jessica Martínez', 'player_2': 'Antionette Payne', 'event': 'Gol'}, {'time': 17, 'player_1': 'Carmen Álvarez', 'player_2': 'Carla Morera', 'event': 'Gol'}, {'time': 38, 'player_1': 'Teresa Merida', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana de Teresa', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Racheal Kundananji', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Rosa Otermin', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Karen Araya', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Irati Martín', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Honoka Yonei', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Nerea Gantxegi', 'player_2': 'Noko Matlou', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Michele Vasconcelos', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Sheila Elorza', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Amparo Delgado', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Jesús Navas'}]"
2,12/03/22,Eibar Feminino,Universidade Cajasol Trigueros,1,2,"[' 9. Rodriguez González ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 12. Muth ', ' 6. Llompart Pons ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 13. Mieres García ']","[' 9. Rodriguez González ', ' 18. Campos Andueza ', ' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 12. Muth ', ' 6. Llompart Pons ', ' 10. Álvarez Bela ', ' 17. Matlou ', ' 4. Verges Prats ', ' 11. Morera Rincón ', ' 13. Mieres García ']","[{'time': 22, 'player_1': 'Hannah Keane', 'player_2': '', 'event': 'Gol'}, {'time': 24, 'player_1': 'Racheal Kundananji', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Noko Matlou', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Aida Esteve', 'player_2': 'Kuki', 'event': 'Substituição'}, {'time': 49, 'player_1': 'Sandra Castelló', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 67, 'player_1': 'Aida Esteve', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 73, 'player_1': 'Ana Marcos', 'player_2': 'Amanda Edgren', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Hannah Keane', 'player_2': 'Vanesa Santana', 'event': 'Gol'}, {'time': 80, 'player_1': 'Ana de Teresa', 'player_2': 'Carla Morera', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Arene Altonaga', 'player_2': 'Ane Campos', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Judith Luzuriaga', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Carmen Álvarez', 'player_2': 'Ruth Álvarez', 'event': 'Gol'}, {'time': 96, 'player_1': 'Natalie Muth', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
3,06/03/22,Real Sociedad Feminino,Eibar Feminino,2,1,"[' 16. García Segura ', ' 20. Kinden Jensen ', ' 7. Sarriegi Isasa ', ' 6. Etxezarreta Ayerbe ', ' 23. Sarasola Beain ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 18. Ramírez Gorgoso ', ' 9. Franssi ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[' 16. García Segura ', ' 20. Kinden Jensen ', ' 7. Sarriegi Isasa ', ' 6. Etxezarreta Ayerbe ', ' 23. Sarasola Beain ', ' 10. Eizagirre Lasa ', ' 8. Arnaiz Gil ', ' 18. Ramírez Gorgoso ', ' 9. Franssi ', ' 22. Vanegas Cataño ', ' 25. Lete Para ']","[{'time': 3, 'player_1': 'Natalie Muth', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 27, 'player_1': 'Nuria Rábano', 'player_2': 'Izarne Sarasola', 'event': 'Substituição'}, {'time': 30, 'player_1': 'Racheal Kundananji', 'player_2': 'Carmen Álvarez', 'event': 'Gol'}, {'time': 61, 'player_1': 'Gemma Gili', 'player_2': 'Synne Jensen', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Allegra Poljak', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Arene Altonaga', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Sheila Elorza', 'player_2': 'Natalie Muth', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Mirari Uria', 'player_2': 'Emma Ramírez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Gemma Gili', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 82, 'player_1': 'Elba Verges', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 85, 'player_1': 'Puyi', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Queralt Gómez', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Nerea Eizagirre', 'player_2': 'Manuela Vanegas', 'event': 'Gol'}, {'time': 96, 'player_1': 'Arene Altonaga', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
4,13/02/22,Eibar Feminino,Real Madrid Feminino,0,2,"[' 11. Morera Rincón ', ' 23. Kundananji ', ' 16. Álvarez Sánchez ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 2. Pérez Etxeberria ', ' 17. Matlou ', ' 13. Mieres García ']","[' 11. Morera Rincón ', ' 23. Kundananji ', ' 16. Álvarez Sánchez ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 12. Muth ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 2. Pérez Etxeberria ', ' 17. Matlou ', ' 13. Mieres García ']","[{'time': 46, 'player_1': 'Marta Cardona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Maria Llompart', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Kosovare Asllani', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Athenea del Castillo', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Ane Campos', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Arene Altonaga', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Marta Cardona', 'player_2': '', 'event': 'Gol'}, {'time': 79, 'player_1': 'Aurélie Kaci', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sheila Elorza', 'player_2': 'Natalie Muth', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Kuki', 'player_2': 'Puyi', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Elba Verges', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 90, 'player_1': 'Ivana Andrés', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Ana de Teresa', 'player_2': 'Carla Morera', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
5,06/02/22,Barcelona Feminino,Eibar Feminino,7,0,"[' 5. Serrano ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 6. Pina Medina ', ' 12. Guijarro ', ' 11. Putellas ', ' 15. Ouhabi ', ' 4. León ', ' 23. Syrstad Engen ', ' 8. Torrejón ', ' 1. Paños ']","[' 5. Serrano ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 6. Pina Medina ', ' 12. Guijarro ', ' 11. Putellas ', ' 15. Ouhabi ', ' 4. León ', ' 23. Syrstad Engen ', ' 8. Torrejón ', ' 1. Paños ']","[{'time': 7, 'player_1': 'Marta Torrejón', 'player_2': '', 'event': 'Gol'}, {'time': 11, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 15, 'player_1': 'Marta Torrejón', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 22, 'player_1': 'María León', 'player_2': '', 'event': 'Gol'}, {'time': 27, 'player_1': 'Leila Ouhabi', 'player_2': '', 'event': 'Gol'}, {'time': 43, 'player_1': 'María León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 52, 'player_1': 'Melani Serrano', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 54, 'player_1': 'Lieke Martens', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 54, 'player_1': 'Fridolina Rolfo', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Queralt Gómez', 'player_2': 'Elba Verges', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Kuki', 'player_2': 'Ana de Teresa', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Aitana Bonmatí', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Asisat Oshoala', 'player_2': 'Alexia Putellas', 'event': 'Substituição'}, {'time': 74, 'player_1': 'María Molina', 'player_2': 'Marta Torrejón', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Aida Esteve', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Racheal Kundananji', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Aitana Bonmatí', 'player_2': 'Lieke Martens', 'event': 'Gol'}, {'time': 90, 'player_1': 'Alejandra Bernabe', 'player_2': 'Puyi', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
6,02/02/22,Athletic Bilbao Feminino,Eibar Feminino,3,1,"[' 20. Arana Montes ', ' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 20. Arana Montes ', ' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 7, 'player_1': 'Lucía García', 'player_2': 'Paula Arana', 'event': 'Gol'}, {'time': 21, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Gol'}, {'time': 25, 'player_1': 'Ane Azkona', 'player_2': 'Paula Arana', 'event': 'Gol'}, {'time': 28, 'player_1': 'Oihane Hernández', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 39, 'player_1': 'Natalie Muth', 'player_2': 'Aida Esteve', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 2'}]"
7,30/01/22,Eibar Feminino,Madrid CFF,2,1,"[' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 7. Altonaga Echeverria ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 19. Aparicio ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 3. Gómez Sarriol ', ' 17. Matlou ', ' 13. Mieres García ']","[' 16. Álvarez Sánchez ', ' 23. Kundananji ', ' 7. Altonaga Echeverria ', ' 8. Esteve Quintero ', ' 6. Llompart Pons ', ' 19. Aparicio ', ' 10. Álvarez Bela ', ' 4. Verges Prats ', ' 3. Gómez Sarriol ', ' 17. Matlou ', ' 13. Mieres García ']","[{'time': 17, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 33, 'player_1': 'Maria Llompart', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 44, 'player_1': 'Carmen Álvarez', 'player_2': '', 'event': 'Gol'}, {'time': 59, 'player_1': 'Estela Fernández', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Aida Esteve', 'player_2': '', 'event': 'Gol'}, {'time': 70, 'player_1': 'Ane Campos', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Natalie Muth', 'player_2': 'Aida Esteve', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Michelle De Jongh', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Rikke Madsen', 'player_2': 'Silvia Rubio', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Sheila Elorza', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Kuki', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Unbe'}]"
8,26/01/22,Alhama,Eibar Feminino,3,1,"[' 25. Arques Lázaro ', ' 11. García Quiles ', ' 7. Carid Cao ', ' 12. González Ortuño ', ' 6. Coronel ', ' 8. Salazar ', ' 14. Vicente Fernández ', ' 4. Caravaca Muñoz ', ' 3. Pérez Sánchez ', ' 18. Rubio ', ' 1. Martínez Martínez ']","[' 25. Arques Lázaro ', ' 11. García Quiles ', ' 7. Carid Cao ', ' 12. González Ortuño ', ' 6. Coronel ', ' 8. Salazar ', ' 14. Vicente Fernández ', ' 4. Caravaca Muñoz ', ' 3. Pérez Sánchez ', ' 18. Rubio ', ' 1. Martínez Martínez ']","[{'time': 15, 'player_1': 'Violeta García', 'player_2': 'Noelia Salazar', 'event': 'Gol'}, {'time': 46, 'player_1': 'Carmen Álvarez', 'player_2': 'Ana de Teresa', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Puyi', 'player_2': 'Ane Campos', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Aida Esteve', 'player_2': 'Naroa Domenech', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Nerea Gantxegi', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 63, 'player_1': 'Ruth Álvarez', 'player_2': 'Nahia Larrinaga', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Irati Martín', 'player_2': 'Kuki', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Paula García', 'player_2': 'África González', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Lena', 'player_2': 'Violeta García', 'event': 'Gol'}, {'time': 85, 'player_1': 'Aida Esteve', 'player_2': 'Ruth Álvarez', 'event': 'Gol'}, {'time': 86, 'player_1': 'Paula González', 'player_2': 'Nerea Vicente', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Ángela Navarro', 'player_2': 'Sara Rubio', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Laura Sánchez', 'player_2': 'Daniela Arques', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Campo de Fútbol José María Soriano Muñoz'}]"
9,16/01/22,Real Betis Feminino,Eibar Feminino,2,0,"[' 2. Folds ', ' 15. Asantewaa ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 8. Jacobs ', ' 1. Thalmann ']","[' 2. Folds ', ' 15. Asantewaa ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 8. Jacobs ', ' 1. Thalmann ']","[{'time': 36, 'player_1': 'Grace Asantewaa', 'player_2': 'Ángela Sosa', 'event': 'Gol'}, {'time': 38, 'player_1': 'Puyi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 40, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Grace Asantewaa', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 71, 'player_1': 'Andrea Medina', 'player_2': 'Brianne Folds', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Stefanie da Eira', 'player_2': 'Nuria Ligero', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Ana de Teresa', 'player_2': 'Queralt Gómez', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Grace Asantewaa', 'player_2': 'Ángela Sosa', 'event': 'Gol'}, {'time': 88, 'player_1': 'Laurina', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Laura Moreno', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Victoria Benitez', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '16/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
