,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Rayo Valhecano Feminino,UDG Tenerife,1,2,"[' 10. Aedo ', ' 9. Damasceno Freitas ', ' 6. Fernández Jiménez ', ' 7. Ponciano del Río ', ' 4. García Villalba ', ' 14. Sancho González ', ' 20. Struck ', ' 3. Ballesté ', ' 18. Saez ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[' 10. Aedo ', ' 9. Damasceno Freitas ', ' 6. Fernández Jiménez ', ' 7. Ponciano del Río ', ' 4. García Villalba ', ' 14. Sancho González ', ' 20. Struck ', ' 3. Ballesté ', ' 18. Saez ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[{'time': 1, 'player_1': 'Isadora Freitas', 'player_2': 'Paula Fernández', 'event': 'Gol'}, {'time': 13, 'player_1': 'Raissa Feudjio', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Aleksandra Zaremba', 'event': 'Gol'}, {'time': 30, 'player_1': 'Cecilie Struck', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Maria Estella', 'player_2': 'Aleksandra Zaremba', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Ange Nguessan', 'player_2': 'Silvia Doblado', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Raissa Feudjio', 'event': 'Substituição'}, {'time': 57, 'player_1': 'María José Pérez', 'player_2': '', 'event': 'Gol'}, {'time': 60, 'player_1': 'Slađana Bulatovic', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Claire Falknor', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Millene Cabral', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Claudia Cabezas', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Jassina Blom', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 92, 'player_1': 'Natalia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
1,26/03/22,Deportivo Alavés Feminino,Rayo Valhecano Feminino,3,1,"[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 10. Aznar Martí ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 20. Nevado Gómez ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[' 7. Martínez de Lahidalga ', ' 18. Chamorro Gómez ', ' 11. Armengol Joaniquet ', ' 10. Aznar Martí ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 20. Nevado Gómez ', ' 2. García Majarín ', ' 3. Ohale ', ' 22. Sánchez Auñon ', ' 1. Cornejo Vega ']","[{'time': 16, 'player_1': 'Isadora Freitas', 'player_2': 'Pauleta', 'event': 'Gol'}, {'time': 50, 'player_1': 'Lice Chamorro', 'player_2': 'Carla Armengol', 'event': 'Gol'}, {'time': 56, 'player_1': 'Miku Ito', 'player_2': 'Ane Miren', 'event': 'Gol'}, {'time': 66, 'player_1': 'Slađana Bulatovic', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ane Miren', 'player_2': 'Lice Chamorro', 'event': 'Gol'}, {'time': 71, 'player_1': 'Millene Cabral', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Gema Soliveres', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sara Carrillo', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Mery', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Claudia Cabezas', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Pilar García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 92, 'player_1': 'Jordan Clark', 'player_2': 'Miku Ito', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
2,13/03/22,Rayo Valhecano Feminino,Atlético de Madrid Feminino,0,0,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 2. Hayden ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 20. Struck ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 2. Hayden ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 20. Struck ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[{'time': 41, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Thembi Kgatlana', 'player_2': 'Deyna Castellanos', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Millene Cabral', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Slađana Bulatovic', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Amanda Sampedro', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Silvia Meseguer', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Ludmila', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 74, 'player_1': 'LaiaBallesté', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Sheila García', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
3,06/03/22,Universidade Cajasol Trigueros,Rayo Valhecano Feminino,1,1,"[' 12. Keane ', ' 9. Ramírez Ramírez ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 18. Sørensen Abildå ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[' 12. Keane ', ' 9. Ramírez Ramírez ', ' 11. Marcos Moral ', ' 8. Kanteh Cham ', ' 18. Sørensen Abildå ', ' 16. Castelló Oliver ', ' 10. Fisher ', ' 5. Del Mar Rodriguez Costa ', ' 3. Dias de Almeida Sampaio ', ' 15. Ojeda ', ' 1. Ashurst ']","[{'time': 53, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Amanda Edgren', 'player_2': 'Freja Abildå', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Chini Pizarro', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Iris Ponciano', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Slađana Bulatovic', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Amanda Edgren', 'player_2': '', 'event': 'Gol'}, {'time': 74, 'player_1': 'Fatoumata Kanteh', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 78, 'player_1': 'Cecilie Struck', 'player_2': 'Slađana Bulatovic', 'event': 'Gol'}, {'time': 88, 'player_1': 'Hannah Keane', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Campo Federativo de la Orden'}]"
4,02/03/22,Rayo Valhecano Feminino,Barcelona Feminino,1,3,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 18. Saez ', ' 4. García Villalba ', ' 27. Cabezas Damasiewicz ', ' 6. Fernández Jiménez ', ' 5. Andújar Jiménez ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 3. Ballesté ', ' 13. Goméz Camino ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 18. Saez ', ' 4. García Villalba ', ' 27. Cabezas Damasiewicz ', ' 6. Fernández Jiménez ', ' 5. Andújar Jiménez ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 3. Ballesté ', ' 13. Goméz Camino ']","[{'time': 3, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 19, 'player_1': 'Claudia Pina', 'player_2': 'Lieke Martens', 'event': 'Substituição'}, {'time': 42, 'player_1': 'Alexia Putellas', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 46, 'player_1': 'María Molina', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Jennifer Hermoso', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 58, 'player_1': 'Leila Ouhabi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Martina Fernández', 'player_2': 'Ona Baradad', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 63, 'player_1': 'María Pérez', 'player_2': 'Alexia Putellas', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Millene Cabral', 'player_2': 'Claudia Cabezas', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Isadora Freitas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Yanara Aedo', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Marta Torrejón', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Paula Fernández', 'player_2': 'Pênalti', 'event': ''}, {'time': 84, 'player_1': 'Esther Calderón', 'player_2': 'Paula Andújar', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Danielle Hayden', 'player_2': 'María Bores', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Slađana Bulatovic', 'player_2': 'Isadora Freitas', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
5,13/02/22,Rayo Valhecano Feminino,Madrid CFF,3,2,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 20. Struck ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 20. Struck ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 18. Saez ', ' 1. Larqué Juste ']","[{'time': 3, 'player_1': 'Paula Fernández', 'player_2': 'Camila Saez', 'event': 'Gol'}, {'time': 8, 'player_1': 'Camila Saez', 'player_2': 'Paula Fernández', 'event': 'Gol'}, {'time': 37, 'player_1': 'Patricia Larqué', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 54, 'player_1': 'Rita Chikwelu', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Nuria Martinez', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 74, 'player_1': 'Isadora Freitas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Claudia Cabezas', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Rikke Madsen', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 79, 'player_1': 'LaiaBallesté', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 84, 'player_1': 'LaiaBallesté', 'player_2': 'Camila Saez', 'event': 'Gol'}, {'time': 91, 'player_1': 'Danielle Hayden', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 4'}]"
6,09/02/22,Levante Feminino,Rayo Valhecano Feminino,4,2,"[' 9. Benítez Iannuzzi ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 23. Falcón ', ' 12. Baños Indakoetxea ', ' 15. Pinto ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[' 9. Benítez Iannuzzi ', ' 10. Andonova ', ' 22. Crivelari Anselmo ', ' 23. Falcón ', ' 12. Baños Indakoetxea ', ' 15. Pinto ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 21. Cornetti ', ' 7. Lloris Nicolas ', ' 24. Korenčiová ']","[{'time': 7, 'player_1': 'Silvia Lloris', 'player_2': 'Nataša Andonova', 'event': 'Gol'}, {'time': 16, 'player_1': 'Érika González', 'player_2': 'Giovanna', 'event': 'Substituição'}, {'time': 21, 'player_1': 'Érika González', 'player_2': 'Fiamma Iannuzzi', 'event': 'Gol'}, {'time': 21, 'player_1': 'Yanara Aedo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 28, 'player_1': 'Silvia Lloris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Nataša Andonova', 'player_2': '', 'event': 'Gol'}, {'time': 38, 'player_1': 'Cecilie Struck', 'player_2': '', 'event': 'Gol'}, {'time': 47, 'player_1': 'Silvia Lloris', 'player_2': 'Núria Mendoza', 'event': 'Gol'}, {'time': 59, 'player_1': 'Pauleta', 'player_2': 'Danielle Hayden', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Aldana Cornetti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Carol', 'player_2': 'Silvia Lloris', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Alba Redondo', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Estela Carbonell', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Millene Cabral', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Paula Fernández', 'player_2': '', 'event': 'Gol'}, {'time': 78, 'player_1': 'Viola Calligaris', 'player_2': 'Núria Mendoza', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Pauleta', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Yoko Tanaka', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Claudia Cabezas', 'player_2': 'Isadora Freitas', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
7,06/02/22,Villarreal Feminino,Rayo Valhecano Feminino,1,0,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 4. Miguélez Martínez ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 4. Miguélez Martínez ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[{'time': 36, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 40, 'player_1': 'Iris Ponciano', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Pauleta', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Patricia Larqué', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Estefa', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Leles', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vera Rico', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Sheila Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 90, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
8,02/02/22,Rayo Valhecano Feminino,Valência Feminino,1,1,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 14. Sancho González ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 5. Andújar Jiménez ', ' 3. Ballesté ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 14. Sancho González ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 5. Andújar Jiménez ', ' 3. Ballesté ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[{'time': 39, 'player_1': 'Candela Andújar', 'player_2': '', 'event': 'Gol'}, {'time': 50, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Asun Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Iina Salmi', 'player_2': 'Olga San Nicolas', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Slađana Bulatovic', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Paula Fernández', 'player_2': 'Isadora Freitas', 'event': 'Gol'}, {'time': 82, 'player_1': 'Kerlly Real', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Anna Torrodà', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Julia Aguado', 'player_2': 'Kerlly Real', 'event': 'Substituição'}, {'time': 90, 'player_1': 'LaiaBallesté', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Leles', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 4'}]"
9,30/01/22,Athletic Bilbao Feminino,Rayo Valhecano Feminino,2,1,"[' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 28. Pinedo Castresana ', ' 14. Arraiza ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[' 20. Arana Montes ', ' 17. García ', ' 19. Vazquez ', ' 16. Azkona Fuente ', ' 8. Unzue Urdaniz ', ' 28. Pinedo Castresana ', ' 14. Arraiza ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[{'time': 16, 'player_1': 'Erika Vazquez', 'player_2': 'Pênalti', 'event': ''}, {'time': 34, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Eunate Arraiza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 70, 'player_1': 'Peke Barea', 'player_2': 'Ane Azkona', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Mariana Cerro', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Oihane Valdezate', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Millene Cabral', 'player_2': 'Slađana Bulatovic', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Gol'}, {'time': 84, 'player_1': 'Leles', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Nekane Díez', 'player_2': 'Clara Pinedo', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Nekane Díez', 'player_2': 'Peke Barea', 'event': 'Gol'}, {'time': 88, 'player_1': 'Leles', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
