,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Real Betis Feminino,Atlético de Madrid Feminino,1,1,"[' 20. Babajide ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 4. González Rosa ', ' 15. Asantewaa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[' 20. Babajide ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 4. González Rosa ', ' 15. Asantewaa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 12, 'player_1': 'Maitane López', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Ludmila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 23, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 53, 'player_1': 'Amanda Sampedro', 'player_2': 'Estefania Banini', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Deyna Castellanos', 'player_2': 'Rasheedat Ajibade', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 67, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Laura Moreno', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Thembi Kgatlana', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Mari Paz Vilas', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Laurina', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
1,27/03/22,UDG Tenerife,Real Betis Feminino,0,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 12. Falknor ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 28. Lopez Suarez ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 12. Falknor ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 28. Lopez Suarez ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[{'time': 45, 'player_1': 'Mari Paz Vilas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Claire Falknor', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Ange Nguessan', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Raissa Feudjio', 'player_2': 'Sara Lopez', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Grace Asantewaa', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Sydny Nasello', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Stefanie da Eira', 'player_2': 'Mari Paz Vilas', 'event': 'Substituição'}, {'time': 81, 'player_1': 'María Valle', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gaelle Thalmann', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Nuria Ligero', 'player_2': 'Lucía León', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '27/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
2,12/03/22,Real Betis Feminino,Real Sociedad Feminino,0,3,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 10. Paz Vilas Dono ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 20. Babajide ', ' 5. Valle López ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 10. Paz Vilas Dono ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 20. Babajide ', ' 5. Valle López ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 16, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Nerea Eizagirre', 'player_2': 'Pênalti', 'event': ''}, {'time': 19, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 26, 'player_1': 'Gemma Gili', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Amaiur Sarriegi', 'player_2': '', 'event': 'Gol'}, {'time': 68, 'player_1': 'Synne Jensen', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Synne Jensen', 'player_2': 'Nuria Rábano', 'event': 'Gol'}, {'time': 77, 'player_1': 'Stefanie da Eira', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Mirari Uria', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Allegra Poljak', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Paula Perea', 'player_2': 'Ana González', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Laura Moreno', 'player_2': 'María Valle', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Nuria Ligero', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Matilde Fidalgo', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Ana Tejada', 'player_2': 'Ane Etxezarreta', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Elene Viles', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
3,06/03/22,Sevilha Feminino,Real Betis Feminino,0,0,"[' 26. Merida Cañete ', ' 23. Gaitan ', ' 11. Oyedupe Payne ', ' 8. Martínez Villagra ', ' 10. Gabarro ', ' 6. Calderón Rodríguez ', ' 14. Otermin Abella ', ' 5. Echeverri ', ' 15. Delgado Vega ', ' 16. Rivero ', ' 24. Sullastres Ayuso ']","[' 26. Merida Cañete ', ' 23. Gaitan ', ' 11. Oyedupe Payne ', ' 8. Martínez Villagra ', ' 10. Gabarro ', ' 6. Calderón Rodríguez ', ' 14. Otermin Abella ', ' 5. Echeverri ', ' 15. Delgado Vega ', ' 16. Rivero ', ' 24. Sullastres Ayuso ']","[{'time': 16, 'player_1': 'Dorine', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 53, 'player_1': 'Klára Cahynová', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Karen Araya', 'player_2': 'Nagore Calderón', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Michele Vasconcelos', 'player_2': 'Almudena Rivero', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Laura Moreno', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Ana Franco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Victoria Benitez', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Stefanie da Eira', 'player_2': 'Mari Paz Vilas', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Laurina', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Nuria Ligero', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Ramón Sánchez Pizjuán'}]"
4,03/03/22,Real Betis Feminino,Levante Feminino,1,4,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 20. Babajide ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 20. Babajide ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 5. Valle López ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 12, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Gol'}, {'time': 25, 'player_1': 'Eva Llamas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 36, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 40, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Viola Calligaris', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Alba Redondo', 'player_2': 'Carol', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Silvia Lloris', 'player_2': 'Paula Tomás', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Ana González', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 70, 'player_1': 'Alba Redondo', 'player_2': 'Irene Guerrero', 'event': 'Gol'}, {'time': 71, 'player_1': 'Mari Paz Vilas', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Victoria Benitez', 'player_2': 'Dorine', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Laura Moreno', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Stefanie da Eira', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Érika González', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 81, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 86, 'player_1': 'Andrea Falcón', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Lucía Méndez', 'player_2': 'Eva Llamas', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Victoria Benitez', 'player_2': '', 'event': 'Gol'}, {'time': 92, 'player_1': 'Alba Redondo', 'player_2': 'Sandie Toletti', 'event': 'Gol'}, {'time': 95, 'player_1': 'Andrea Falcón', 'player_2': 'Alba Redondo', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '03/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
5,12/02/22,Real Betis Feminino,Universidade Cajasol Trigueros,0,0,"[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 12. Peña Ruiz ', ' 24. Benitez ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[' 15. Asantewaa ', ' 3. Medina Martín ', ' 7. Sosa Martín ', ' 11. Ligero Fernández ', ' 6. Llamas Hernández ', ' 4. González Rosa ', ' 12. Peña Ruiz ', ' 24. Benitez ', ' 19. Chuigoue ', ' 14. Marte León ', ' 1. Thalmann ']","[{'time': 27, 'player_1': 'Vanesa Santana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Mayra Ramírez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Rinsola Babajide', 'player_2': 'Leire Peña', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Cinta Del Mar', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 51, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Victoria Benitez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 73, 'player_1': 'Chini Pizarro', 'player_2': 'Mayra Ramírez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Stefanie da Eira', 'player_2': 'Eva Llamas', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Matilde Fidalgo', 'player_2': 'Victoria Benitez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Laura Moreno', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Paula Romero', 'player_2': 'Paula García', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Laurina', 'player_2': 'Andrea Medina', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '12/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
6,06/02/22,Real Madrid Feminino,Real Betis Feminino,1,0,"[' 7. Carmona García ', ' 9. Asllani ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 10. Gonzalez ', ' 23. Svava ', ' 5. Andrés ', ' 20. Gálvez Luna ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 7. Carmona García ', ' 9. Asllani ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 10. Gonzalez ', ' 23. Svava ', ' 5. Andrés ', ' 20. Gálvez Luna ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 29, 'player_1': 'Ana González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 31, 'player_1': 'Andrea Medina', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Ivana Andrés', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Brianne Folds', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 57, 'player_1': 'María Valle', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Caroline Møller', 'player_2': 'Sofie Svava', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Marta Cardona', 'player_2': 'Kosovare Asllani', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Maite Oroz', 'player_2': 'Aurélie Kaci', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Esther Gonzalez', 'player_2': 'Ivana Andrés', 'event': 'Gol'}, {'time': 76, 'player_1': 'Matilde Fidalgo', 'player_2': 'Nuria Ligero', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Laura Moreno', 'player_2': 'María Valle', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Stefanie da Eira', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Laurina', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Teresa Abelleira', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
7,02/02/22,Real Betis Feminino,Deportivo Alavés Feminino,4,1,"[' 11. Ligero Fernández ', ' 15. Asantewaa ', ' 5. Valle López ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 3. Medina Martín ', ' 1. Thalmann ']","[' 11. Ligero Fernández ', ' 15. Asantewaa ', ' 5. Valle López ', ' 6. Llamas Hernández ', ' 7. Sosa Martín ', ' 4. González Rosa ', ' 14. Marte León ', ' 21. Perea Ramírez ', ' 19. Chuigoue ', ' 3. Medina Martín ', ' 1. Thalmann ']","[{'time': 6, 'player_1': 'Dorine', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 16, 'player_1': 'Grace Asantewaa', 'player_2': '', 'event': 'Gol'}, {'time': 52, 'player_1': 'Ángela Sosa', 'player_2': 'Andrea Medina', 'event': 'Gol'}, {'time': 55, 'player_1': 'Lice Chamorro', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Carla Armengol', 'player_2': 'Urru', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Lucía León', 'player_2': 'Andrea Medina', 'event': 'Gol'}, {'time': 75, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Rinsola Babajide', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Paula Perea', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 78, 'player_1': 'Rinsola Babajide', 'player_2': '', 'event': 'Gol'}, {'time': 80, 'player_1': 'Sanadri', 'player_2': 'Jordan Clark', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Gema Soliveres', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Stefanie da Eira', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Laura Moreno', 'player_2': 'Andrea Medina', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Ane Miren', 'player_2': 'Sanadri', 'event': 'Gol'}, {'time': 84, 'player_1': 'Vera Martínez', 'player_2': 'Osinachi Ohale', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Victoria Benitez', 'player_2': 'Dorine', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Leire Peña', 'player_2': 'Paula Perea', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Luis de Sol'}]"
8,29/01/22,Barcelona Feminino,Real Betis Feminino,4,0,"[' 22. Martens ', ' 20. Oshoala ', ' 7. Graham Hansen ', ' 6. Pina Medina ', ' 5. Serrano ', ' 12. Guijarro ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 13. Coll Lluch ']","[' 22. Martens ', ' 20. Oshoala ', ' 7. Graham Hansen ', ' 6. Pina Medina ', ' 5. Serrano ', ' 12. Guijarro ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 13. Coll Lluch ']","[{'time': 18, 'player_1': 'Asisat Oshoala', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 36, 'player_1': 'Asisat Oshoala', 'player_2': 'Lieke Martens', 'event': 'Gol'}, {'time': 44, 'player_1': 'Asisat Oshoala', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana González', 'player_2': 'Leire Peña', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Grace Asantewaa', 'player_2': 'Stefanie da Eira', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Fridolina Rolfo', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Fridolina Rolfo', 'player_2': 'Lieke Martens', 'event': 'Gol'}, {'time': 70, 'player_1': 'Jennifer Hermoso', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Andrea Medina', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Rinsola Babajide', 'player_2': 'Laura Moreno', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Ona Baradad', 'player_2': 'Lieke Martens', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Irene Paredes', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Marina Rivas', 'player_2': 'Eva Llamas', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '29/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
9,26/01/22,Granada,Real Betis Feminino,0,1,"[' 11. Ávila Delgado ', ' 9. Requena Sánchez ', ' 10. Morcillo Aparicio ', ' 18. Faddi Id Guedouz ', ' 8. González Medina ', ' 7. Pérez Martín ', ' 17. Urrea Rodríguez ', ' 3. Carrasco Garcia ', ' 4. Moreno Castellano ', ' 12. Pérez Manrique ', ' 1. Pi Francés ']","[' 11. Ávila Delgado ', ' 9. Requena Sánchez ', ' 10. Morcillo Aparicio ', ' 18. Faddi Id Guedouz ', ' 8. González Medina ', ' 7. Pérez Martín ', ' 17. Urrea Rodríguez ', ' 3. Carrasco Garcia ', ' 4. Moreno Castellano ', ' 12. Pérez Manrique ', ' 1. Pi Francés ']","[{'time': 21, 'player_1': 'Dorine', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Pamela González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Andrea Medina', 'player_2': 'Eva Llamas', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Noelia Salas', 'player_2': 'Eloísa Ávila', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Lucía León', 'player_2': '', 'event': 'Gol'}, {'time': 63, 'player_1': 'Alicia Redondo', 'player_2': 'Cristina Moreno', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Cristina Postigo', 'player_2': 'Inés Faddi', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Patricia Mascaró', 'player_2': 'Pamela González', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Laura Moreno', 'player_2': 'Stefanie da Eira', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Rinsola Babajide', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Leire Peña', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Adriana Cuadros', 'player_2': 'Ana Urrea', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Nuria Ligero', 'player_2': 'Brianne Folds', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Nuevo Los Cármenes'}]"
