,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Levante Feminino,Sevilha Feminino,3,0,"[' 11. Redondo ', ' 5. Queiroz Costa ', ' 15. Pinto ', ' 10. Andonova ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 16. Soares Paz ', ' 19. Calligaris ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 13. Părăluță ']","[' 11. Redondo ', ' 5. Queiroz Costa ', ' 15. Pinto ', ' 10. Andonova ', ' 12. Baños Indakoetxea ', ' 6. Toletti ', ' 16. Soares Paz ', ' 19. Calligaris ', ' 20. Tomás Serer ', ' 3. Mendoza Miralles ', ' 13. Părăluță ']","[{'time': 23, 'player_1': 'Jessica Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Gio', 'player_2': '', 'event': 'Gol'}, {'time': 33, 'player_1': 'Leire Baños', 'player_2': '', 'event': 'Gol'}, {'time': 59, 'player_1': 'Sandie Toletti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Estela Carbonell', 'player_2': 'Jucinara', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Ana Franco', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Michele Vasconcelos', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Teresa Merida', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Carol', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Andrea Falcón', 'player_2': 'Gio', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Nagore Calderón', 'player_2': 'Teresa Merida', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Carol', 'player_2': 'Tatiana Pinto', 'event': 'Gol'}, {'time': 82, 'player_1': 'Érika González', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Fiamma Iannuzzi', 'player_2': 'Tatiana Pinto', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva de Buñol - Campo 1'}]"
1,26/03/22,Sevilha Feminino,Eibar Feminino,4,1,"[' 8. Martínez Villagra ', ' 10. Gabarro ', ' 18. Cahynová ', ' 11. Oyedupe Payne ', ' 16. Rivero ', ' 12. Araya ', ' 14. Otermin Abella ', ' 26. Merida Cañete ', ' 23. Gaitan ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[' 8. Martínez Villagra ', ' 10. Gabarro ', ' 18. Cahynová ', ' 11. Oyedupe Payne ', ' 16. Rivero ', ' 12. Araya ', ' 14. Otermin Abella ', ' 26. Merida Cañete ', ' 23. Gaitan ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[{'time': 14, 'player_1': 'Jessica Martínez', 'player_2': 'Antionette Payne', 'event': 'Gol'}, {'time': 17, 'player_1': 'Carmen Álvarez', 'player_2': 'Carla Morera', 'event': 'Gol'}, {'time': 38, 'player_1': 'Teresa Merida', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ana de Teresa', 'player_2': 'Maria Llompart', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Racheal Kundananji', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Rosa Otermin', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Karen Araya', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Irati Martín', 'player_2': 'Racheal Kundananji', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Honoka Yonei', 'player_2': 'Arene Altonaga', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Nerea Gantxegi', 'player_2': 'Noko Matlou', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Michele Vasconcelos', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Sheila Elorza', 'player_2': 'Carmen Álvarez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Amparo Delgado', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Jesús Navas'}]"
2,16/03/22,UDG Tenerife,Sevilha Feminino,2,0,"[' 9. Martín-Prieto Gutierrez ', ' 17. Pérez González ', ' 7. Blom ', ' 12. Falknor ', ' 15. Hernandez ', ' 11. Zaremba ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 14. Ramos Álvarez ', ' 22. Gavira Collado ', ' 24. Ramos Álvarez ']","[' 9. Martín-Prieto Gutierrez ', ' 17. Pérez González ', ' 7. Blom ', ' 12. Falknor ', ' 15. Hernandez ', ' 11. Zaremba ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 14. Ramos Álvarez ', ' 22. Gavira Collado ', ' 24. Ramos Álvarez ']","[{'time': 33, 'player_1': 'Isabella Echeverri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 47, 'player_1': 'Claire Falknor', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Natalia Ramos', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Ange Nguessan', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Ange Nguessan', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 57, 'player_1': 'Antionette Payne', 'player_2': 'Isabella Echeverri', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Klára Cahynová', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Rosa Otermin', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Inma Gabarro', 'player_2': 'Ana Franco', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Michele Vasconcelos', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Nagore Calderón', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 69, 'player_1': 'Almudena Rivero', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Sara Lopez', 'player_2': 'Cristina Cubedo', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Silvia Doblado', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 91, 'player_1': 'Lucía', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '16/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
3,13/03/22,UDG Tenerife,Sevilha Feminino,1,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 28. Lopez Suarez ', ' 8. Nguessan ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 28. Lopez Suarez ', ' 8. Nguessan ', ' 24. Ramos Álvarez ']","[{'time': 42, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Sara Lopez', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Claire Falknor', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ana Franco', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Inma Gabarro', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Javiera Toro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Rosa Otermin', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Nagore Calderón', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Sydny Nasello', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 83, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Silvia Doblado', 'player_2': 'Ange Nguessan', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Isabella Echeverri', 'player_2': 'Natalia Gaitan', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Raissa Feudjio', 'player_2': 'María José Pérez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Heliodoro Rodríguez Lopéz'}]"
4,06/03/22,Sevilha Feminino,Real Betis Feminino,0,0,"[' 26. Merida Cañete ', ' 23. Gaitan ', ' 11. Oyedupe Payne ', ' 8. Martínez Villagra ', ' 10. Gabarro ', ' 6. Calderón Rodríguez ', ' 14. Otermin Abella ', ' 5. Echeverri ', ' 15. Delgado Vega ', ' 16. Rivero ', ' 24. Sullastres Ayuso ']","[' 26. Merida Cañete ', ' 23. Gaitan ', ' 11. Oyedupe Payne ', ' 8. Martínez Villagra ', ' 10. Gabarro ', ' 6. Calderón Rodríguez ', ' 14. Otermin Abella ', ' 5. Echeverri ', ' 15. Delgado Vega ', ' 16. Rivero ', ' 24. Sullastres Ayuso ']","[{'time': 16, 'player_1': 'Dorine', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 53, 'player_1': 'Klára Cahynová', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Karen Araya', 'player_2': 'Nagore Calderón', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Michele Vasconcelos', 'player_2': 'Almudena Rivero', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Laura Moreno', 'player_2': 'Grace Asantewaa', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Ana Franco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Victoria Benitez', 'player_2': 'Lucía León', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Elisa del Estal', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Stefanie da Eira', 'player_2': 'Mari Paz Vilas', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Laurina', 'player_2': 'Ángela Sosa', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Nuria Ligero', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Ramón Sánchez Pizjuán'}]"
5,01/03/22,Athletic Bilbao Feminino,Sevilha Feminino,0,1,"[' 17. García ', ' 20. Arana Montes ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 17. García ', ' 20. Arana Montes ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 12. Oguiza ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 6, 'player_1': 'Débora García', 'player_2': '', 'event': 'Gol'}, {'time': 27, 'player_1': 'Itzel González', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 41, 'player_1': 'Klára Cahynová', 'player_2': 'Natalia Gaitan', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Eunate Arraiza', 'player_2': 'Paula Arana', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Erika Vazquez', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Clara Pinedo', 'player_2': 'Itxaso Uriarte', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Javiera Toro', 'player_2': 'Almudena Rivero', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Karen Araya', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 70, 'player_1': 'Inma Gabarro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Ana Franco', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Elisa del Estal', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Javiera Toro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 81, 'player_1': 'Nekane Díez', 'player_2': 'Ane Azkona', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '01/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
6,13/02/22,Atlético de Madrid Feminino,Sevilha Feminino,5,0,"[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 15. Meseguer ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 16. Ajibade ', ' 17. Latorre ', ' 22. Banini ', ' 15. Meseguer ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 17, 'player_1': 'Lucía', 'player_2': 'Nazareth Martín', 'event': 'Substituição'}, {'time': 20, 'player_1': 'Estefania Banini', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 26, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 32, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 37, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Amanda Sampedro', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
7,06/02/22,Deportivo Alavés Feminino,Sevilha Feminino,1,1,"[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 12. Facila ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 2. García Majarín ', ' 11. Armengol Joaniquet ', ' 1. Cornejo Vega ']","[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 16. Clark ', ' 14. Diéguez de Oña ', ' 23. Ito ', ' 12. Facila ', ' 21. Martínez Viota ', ' 3. Ohale ', ' 2. García Majarín ', ' 11. Armengol Joaniquet ', ' 1. Cornejo Vega ']","[{'time': 29, 'player_1': 'Jessica Martínez', 'player_2': 'Antionette Payne', 'event': 'Gol'}, {'time': 37, 'player_1': 'Sara Carrillo', 'player_2': 'Lice Chamorro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ane Miren', 'player_2': 'Vera Martínez', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Cristina Auñon', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Karen Araya', 'player_2': 'Klára Cahynová', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Rosa Otermin', 'player_2': 'Inma Gabarro', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Elisa del Estal', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Antionette Payne', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 80, 'player_1': 'Sanadri', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Michele Vasconcelos', 'player_2': 'Antionette Payne', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
8,02/02/22,Sevilha Feminino,Villarreal Feminino,0,3,"[' 21. del Estal Mateu ', ' 22. Vasconcelos ', ' 12. Araya ', ' 11. Oyedupe Payne ', ' 23. Gaitan ', ' 6. Calderón Rodríguez ', ' 15. Delgado Vega ', ' 5. Echeverri ', ' 3. Ramírez Ramos ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[' 21. del Estal Mateu ', ' 22. Vasconcelos ', ' 12. Araya ', ' 11. Oyedupe Payne ', ' 23. Gaitan ', ' 6. Calderón Rodríguez ', ' 15. Delgado Vega ', ' 5. Echeverri ', ' 3. Ramírez Ramos ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[{'time': 23, 'player_1': 'Débora García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 33, 'player_1': 'Lucía', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Yenifer Giménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Irene Miguélez', 'player_2': 'Yenifer Giménez', 'event': 'Substituição'}, {'time': 54, 'player_1': 'Teresa Morató', 'player_2': 'Lara Mata', 'event': 'Gol'}, {'time': 59, 'player_1': 'Francisca Lara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Rosa Otermin', 'player_2': 'Elisa del Estal', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Inma Gabarro', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Sheila Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 66, 'player_1': 'Teresa Morató', 'player_2': 'Sheila Guijarro', 'event': 'Gol'}, {'time': 69, 'player_1': 'Klára Cahynová', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Nazareth Martín', 'player_2': 'Amparo Delgado', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Zaira Flores', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vera Rico', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Olivia Oprea', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Jesús Navas'}]"
9,29/01/22,Real Madrid Feminino,Sevilha Feminino,3,1,"[' 16. Møller Hansen ', ' 23. Svava ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 8. Oroz Areta ', ' 7. Carmona García ', ' 5. Andrés ', ' 4. Peter ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 16. Møller Hansen ', ' 23. Svava ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 6. Kaci ', ' 8. Oroz Areta ', ' 7. Carmona García ', ' 5. Andrés ', ' 4. Peter ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 18, 'player_1': 'Jessica Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 28, 'player_1': 'Natalia Gaitan', 'player_2': '', 'event': 'Gol'}, {'time': 29, 'player_1': 'Maite Oroz', 'player_2': 'Olga Carmona', 'event': 'Gol'}, {'time': 37, 'player_1': 'Claudia Zornoza', 'player_2': 'Maite Oroz', 'event': 'Gol'}, {'time': 57, 'player_1': 'Claudia Zornoza', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Aurélie Kaci', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Klára Cahynová', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Javiera Toro', 'player_2': 'Almudena Rivero', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Javiera Toro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Marta Cardona', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Teresa Abelleira', 'player_2': 'Claudia Zornoza', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Rosa Otermin', 'player_2': 'Lucía', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Kosovare Asllani', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Michele Vasconcelos', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Elisa del Estal', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Gol'}, {'time': 85, 'player_1': 'Esther Gonzalez', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Lucía Rodríguez', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Kosovare Asllani', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '29/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
