,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,03/04/22,Rayo Valhecano Feminino,UDG Tenerife,1,2,"[' 10. Aedo ', ' 9. Damasceno Freitas ', ' 6. Fernández Jiménez ', ' 7. Ponciano del Río ', ' 4. García Villalba ', ' 14. Sancho González ', ' 20. Struck ', ' 3. Ballesté ', ' 18. Saez ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[' 10. Aedo ', ' 9. Damasceno Freitas ', ' 6. Fernández Jiménez ', ' 7. Ponciano del Río ', ' 4. García Villalba ', ' 14. Sancho González ', ' 20. Struck ', ' 3. Ballesté ', ' 18. Saez ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[{'time': 1, 'player_1': 'Isadora Freitas', 'player_2': 'Paula Fernández', 'event': 'Gol'}, {'time': 13, 'player_1': 'Raissa Feudjio', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 17, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Aleksandra Zaremba', 'event': 'Gol'}, {'time': 30, 'player_1': 'Cecilie Struck', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Maria Estella', 'player_2': 'Aleksandra Zaremba', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Ange Nguessan', 'player_2': 'Silvia Doblado', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Raissa Feudjio', 'event': 'Substituição'}, {'time': 57, 'player_1': 'María José Pérez', 'player_2': '', 'event': 'Gol'}, {'time': 60, 'player_1': 'Slađana Bulatovic', 'player_2': 'Cecilie Struck', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Claire Falknor', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Millene Cabral', 'player_2': 'Pauleta', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Claudia Cabezas', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Jassina Blom', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 92, 'player_1': 'Natalia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '03/04/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
1,27/03/22,UDG Tenerife,Real Betis Feminino,0,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 12. Falknor ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 28. Lopez Suarez ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 12. Falknor ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 28. Lopez Suarez ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[{'time': 45, 'player_1': 'Mari Paz Vilas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Claire Falknor', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Ange Nguessan', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Raissa Feudjio', 'player_2': 'Sara Lopez', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Grace Asantewaa', 'player_2': 'Rinsola Babajide', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Sydny Nasello', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Stefanie da Eira', 'player_2': 'Mari Paz Vilas', 'event': 'Substituição'}, {'time': 81, 'player_1': 'María Valle', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gaelle Thalmann', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Nuria Ligero', 'player_2': 'Lucía León', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '27/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
2,19/03/22,Real Madrid Feminino,UDG Tenerife,2,0,"[' 14. García ', ' 10. Gonzalez ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 16. Møller Hansen ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 23. Svava ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[' 14. García ', ' 10. Gonzalez ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 16. Møller Hansen ', ' 20. Gálvez Luna ', ' 5. Andrés ', ' 23. Svava ', ' 2. Kenti Robles Salas ', ' 1. Rodríguez Rivero ']","[{'time': 14, 'player_1': 'Rocío Gálvez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 28, 'player_1': 'Rocío Gálvez', 'player_2': 'Claudia Zornoza', 'event': 'Gol'}, {'time': 46, 'player_1': 'Jassina Blom', 'player_2': 'Ange Nguessan', 'event': 'Substituição'}, {'time': 48, 'player_1': 'Athenea del Castillo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 56, 'player_1': 'Jassina Blom', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Olga Carmona', 'player_2': 'Caroline Møller', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Maite Oroz', 'player_2': 'Nahikari García', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Paola Hernández', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sofie Svava', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Maite Oroz', 'player_2': 'Vaitiare Kenti Robles Salas', 'event': 'Gol'}, {'time': 87, 'player_1': 'Carla Camacho', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Babett Peter', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Paula Partido', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '19/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
3,16/03/22,UDG Tenerife,Sevilha Feminino,2,0,"[' 9. Martín-Prieto Gutierrez ', ' 17. Pérez González ', ' 7. Blom ', ' 12. Falknor ', ' 15. Hernandez ', ' 11. Zaremba ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 14. Ramos Álvarez ', ' 22. Gavira Collado ', ' 24. Ramos Álvarez ']","[' 9. Martín-Prieto Gutierrez ', ' 17. Pérez González ', ' 7. Blom ', ' 12. Falknor ', ' 15. Hernandez ', ' 11. Zaremba ', ' 23. Peña Rodríguez ', ' 3. Cubedo Pitarch ', ' 14. Ramos Álvarez ', ' 22. Gavira Collado ', ' 24. Ramos Álvarez ']","[{'time': 33, 'player_1': 'Isabella Echeverri', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 47, 'player_1': 'Claire Falknor', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Natalia Ramos', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Ange Nguessan', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Ange Nguessan', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 57, 'player_1': 'Antionette Payne', 'player_2': 'Isabella Echeverri', 'event': 'Substituição'}, {'time': 57, 'player_1': 'Klára Cahynová', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Rosa Otermin', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Inma Gabarro', 'player_2': 'Ana Franco', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Michele Vasconcelos', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Nagore Calderón', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 69, 'player_1': 'Almudena Rivero', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Sara Lopez', 'player_2': 'Cristina Cubedo', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Silvia Doblado', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 91, 'player_1': 'Lucía', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '16/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
4,13/03/22,UDG Tenerife,Sevilha Feminino,1,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 28. Lopez Suarez ', ' 8. Nguessan ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 28. Lopez Suarez ', ' 8. Nguessan ', ' 24. Ramos Álvarez ']","[{'time': 42, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Sydny Nasello', 'player_2': 'Sara Lopez', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Claire Falknor', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ana Franco', 'player_2': 'Jessica Martínez', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Inma Gabarro', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Javiera Toro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Rosa Otermin', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Nagore Calderón', 'player_2': 'Antionette Payne', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Sydny Nasello', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 83, 'player_1': 'Patri Gavira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Silvia Doblado', 'player_2': 'Ange Nguessan', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Isabella Echeverri', 'player_2': 'Natalia Gaitan', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Raissa Feudjio', 'player_2': 'María José Pérez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Heliodoro Rodríguez Lopéz'}]"
5,06/03/22,Atlético de Madrid Feminino,UDG Tenerife,4,1,"[' 17. Latorre ', ' 16. Ajibade ', ' 22. Banini ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 17. Latorre ', ' 16. Ajibade ', ' 22. Banini ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 7, 'player_1': 'Aleksandra Zaremba', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 8, 'player_1': 'Maitane López', 'player_2': 'Leicy Santos', 'event': 'Gol'}, {'time': 9, 'player_1': 'Silvia Meseguer', 'player_2': 'Carmen Menayo', 'event': 'Substituição'}, {'time': 27, 'player_1': 'Amanda Sampedro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 29, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Natalia Ramos', 'event': 'Gol'}, {'time': 34, 'player_1': 'Leicy Santos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 41, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Estefania Banini', 'player_2': 'Silvia Meseguer', 'event': 'Gol'}, {'time': 48, 'player_1': 'Cristina Cubedo', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 46, 'player_1': 'Silvia Doblado', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Rasheedat Ajibade', 'player_2': 'Barbara Latorre', 'event': 'Gol'}, {'time': 59, 'player_1': 'Sara Lopez', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Beatrice Goad', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Noelia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Amanda Sampedro', 'player_2': 'Pênalti', 'event': ''}, {'time': 65, 'player_1': 'Aissatou Tounkara', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Deyna Castellanos', 'player_2': 'Leicy Santos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Gisela Robledo', 'player_2': 'Pisco', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 80, 'player_1': 'Hanna Lundkvist', 'player_2': 'Sheila García', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Virginia Torrecilla', 'player_2': 'Maitane López', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Hanna Lundkvist', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Sydny Nasello', 'player_2': 'Aleksandra Zaremba', 'event': 'Substituição'}, {'time': 92, 'player_1': 'Deyna Castellanos', 'player_2': '', 'event': 'Segundo cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
6,02/03/22,Valência Feminino,UDG Tenerife,0,3,"[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 34. Alguacil Amores ', ' 1. Salón ']","[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 34. Alguacil Amores ', ' 1. Salón ']","[{'time': 17, 'player_1': 'Cristina Martín-Prieto', 'player_2': '', 'event': 'Gol'}, {'time': 30, 'player_1': 'Pisco', 'player_2': 'Pênalti', 'event': ''}, {'time': 46, 'player_1': 'Asun Martínez', 'player_2': 'Anna Torrodà', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Paola Hernández', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Esther Martín-Pozuelo', 'player_2': 'Candela Andújar', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Jassina Blom', 'player_2': 'María José Pérez', 'event': 'Gol'}, {'time': 55, 'player_1': 'Natalia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Olga San Nicolas', 'player_2': 'Ellen Jansen', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Silvia Doblado', 'player_2': 'Natalia Ramos', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Sydny Nasello', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Emma Tovar', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Beatrice Goad', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Saray López', 'player_2': 'Ainhoa Alguacil', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
7,13/02/22,UDG Tenerife,Villarreal Feminino,3,1,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[{'time': 24, 'player_1': 'María José Pérez', 'player_2': '', 'event': 'Gol'}, {'time': 27, 'player_1': 'María José Pérez', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 46, 'player_1': 'Bea Prades', 'player_2': 'Vera Rico', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Silvia Doblado', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Raquel Pinel', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Gisela Robledo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 77, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Ange Nguessan', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sara Lopez', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Lara Mata', 'player_2': '', 'event': 'Gol'}, {'time': 83, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Ange Nguessan', 'event': 'Gol'}, {'time': 85, 'player_1': 'Sydny Nasello', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Zaira Flores', 'player_2': 'Paola Soldevila', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Aixa García', 'player_2': 'Cienfu', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
8,06/02/22,Madrid CFF,UDG Tenerife,0,1,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 14. Rubio Álvarez ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 20. Leal Costa ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 5. Monica ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 14. Rubio Álvarez ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 20. Leal Costa ', ' 4. Daiane ', ' 3. da Costa Silva ', ' 5. Monica ', ' 1. Ulloa Jiménez ']","[{'time': 23, 'player_1': 'Rikke Madsen', 'player_2': 'Gabi Nunes', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Pisco', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Noelia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Jassina Blom', 'event': 'Gol'}, {'time': 65, 'player_1': 'Ange Nguessan', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Michelle De Jongh', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Vicky López', 'player_2': 'Lauren', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Sara Lopez', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ange Nguessan', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 88, 'player_1': 'Beatrice Goad', 'player_2': 'Jassina Blom', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
9,02/02/22,UDG Tenerife,Universidade Cajasol Trigueros,1,0,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 13. Aline ']","[{'time': 14, 'player_1': 'Chelsea Ashurst', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Paola Hernández', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Chini Pizarro', 'player_2': 'Hannah Keane', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Jassina Blom', 'event': 'Gol'}, {'time': 60, 'player_1': 'Judith Luzuriaga', 'player_2': 'Ana Marcos', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Paula Romero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Paula García', 'player_2': 'Paula Romero', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Ange Nguessan', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Cristina Gey', 'player_2': 'Fatoumata Kanteh', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Freja Abildå', 'player_2': 'Vanesa Santana', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Silvia Doblado', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Gisela Robledo', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Jassina Blom', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 89, 'player_1': 'Noelia Ramos', 'player_2': 'Aline', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Claire Falknor', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 95, 'player_1': 'Patri Ojeda', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
