,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Athletic Bilbao Feminino,Valência Feminino,2,2,"[' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 7. Díez Tapia ', ' 12. Oguiza ', ' 19. Vazquez ', ' 3. Vicente ', ' 21. Gimber Acosta ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[' 17. García ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 7. Díez Tapia ', ' 12. Oguiza ', ' 19. Vazquez ', ' 3. Vicente ', ' 21. Gimber Acosta ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 1. De la Nava Manzano ']","[{'time': 5, 'player_1': 'Asun Martínez', 'player_2': 'Candela Andújar', 'event': 'Gol'}, {'time': 27, 'player_1': 'Berta Pujadas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Irene Oguiza', 'player_2': 'Nekane Díez', 'event': 'Gol'}, {'time': 46, 'player_1': 'Garazi Murua', 'player_2': 'Vanesa Gimber', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Irene Oguiza', 'player_2': 'Nekane Díez', 'event': 'Gol'}, {'time': 57, 'player_1': 'Asun Martínez', 'player_2': 'Iina Salmi', 'event': 'Gol'}, {'time': 67, 'player_1': 'Yulema Corres', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Eunate Arraiza', 'player_2': 'Ainhoa Vicente', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Leyre Monente', 'player_2': 'Nekane Díez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Paula Arana', 'player_2': 'Erika Vazquez', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Berta Pujadas', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Julia Aguado', 'player_2': 'Asun Martínez', 'event': 'Substituição'}, {'time': 93, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 94, 'player_1': 'Oihane Hernández', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 1'}]"
1,30/03/22,Valência Feminino,Villarreal Feminino,2,1,"[' 21. Torrodà Ricart ', ' 9. Martínez Salinas ', ' 15. Martín-Pozuelo Aranda ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 2. Pujadas Boix ', ' 1. Salón ']","[' 21. Torrodà Ricart ', ' 9. Martínez Salinas ', ' 15. Martín-Pozuelo Aranda ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 2. Pujadas Boix ', ' 1. Salón ']","[{'time': 18, 'player_1': 'Francisca Lara', 'player_2': 'Salma Paralluelo', 'event': 'Gol'}, {'time': 33, 'player_1': 'Francisca Lara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Bea Beltrán', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Estefa', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Paola Soldevila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Kerlly Real', 'player_2': 'Bea Beltrán', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Nerea Pérez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Julia Aguado', 'player_2': 'María Jiménez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Candela Andújar', 'player_2': 'Ellen Jansen', 'event': 'Gol'}, {'time': 71, 'player_1': 'Anna Torrodà', 'player_2': 'Iina Salmi', 'event': 'Gol'}, {'time': 72, 'player_1': 'Ainhoa Alguacil', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Belén', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Noelia Villegas', 'player_2': 'Berta Pujadas', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
2,26/03/22,Atlético de Madrid Feminino,Valência Feminino,3,0,"[' 9. Castellanos Naujenis ', ' 8. Ludmila ', ' 17. Latorre ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[' 9. Castellanos Naujenis ', ' 8. Ludmila ', ' 17. Latorre ', ' 10. Santos ', ' 7. López Millán ', ' 6. Sampedro ', ' 11. Menayo Montero ', ' 5. Van Dongen ', ' 4. Aleixandri ', ' 21. García Gómez ', ' 13. Gallardo ']","[{'time': 20, 'player_1': 'Merel Van Dongen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Laia Aleixandri', 'player_2': '', 'event': 'Gol'}, {'time': 44, 'player_1': 'Barbara Latorre', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sheila García', 'player_2': 'Deyna Castellanos', 'event': 'Gol'}, {'time': 48, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Berta Pujadas', 'player_2': 'Noelia Villegas', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Aissatou Tounkara', 'player_2': 'Merel Van Dongen', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Emma Tovar', 'player_2': 'Marta Carro', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Olga San Nicolas', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Estefania Banini', 'player_2': 'Barbara Latorre', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Thembi Kgatlana', 'player_2': 'Amanda Sampedro', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Irene', 'player_2': 'Kerlly Real', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Paula Vizoso', 'player_2': 'Dolores Gallardo', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Hanna Lundkvist', 'player_2': 'Carmen Menayo', 'event': 'Substituição'}, {'time': 81, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 87, 'player_1': 'Ludmila', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Wanda Atlético de Madrid Alcalá de Henares'}]"
3,06/03/22,Madrid CFF,Valência Feminino,1,0,"[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 17. Youngju ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 14. Rubio Álvarez ', ' 20. Leal Costa ', ' 3. da Costa Silva ', ' 5. Monica ', ' 13. Expósito Reyes ']","[' 23. Geyse ', ' 9. Nunes da Silva ', ' 10. Albuquerque de Miranda ', ' 17. Youngju ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 14. Rubio Álvarez ', ' 20. Leal Costa ', ' 3. da Costa Silva ', ' 5. Monica ', ' 13. Expósito Reyes ']","[{'time': 35, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 38, 'player_1': 'Geyse', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Geyse', 'player_2': 'Gabi Nunes', 'event': 'Gol'}, {'time': 62, 'player_1': 'Ainhoa Alguacil', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Julia Aguado', 'player_2': 'María Jiménez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Lucía Pardo', 'player_2': 'Geyse', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Nuria Martinez', 'player_2': 'Victoria', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Olga San Nicolas', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Itziar Pinillos', 'player_2': 'Laura Domínguez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
4,02/03/22,Valência Feminino,UDG Tenerife,0,3,"[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 34. Alguacil Amores ', ' 1. Salón ']","[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 34. Alguacil Amores ', ' 1. Salón ']","[{'time': 17, 'player_1': 'Cristina Martín-Prieto', 'player_2': '', 'event': 'Gol'}, {'time': 30, 'player_1': 'Pisco', 'player_2': 'Pênalti', 'event': ''}, {'time': 46, 'player_1': 'Asun Martínez', 'player_2': 'Anna Torrodà', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Paola Hernández', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Esther Martín-Pozuelo', 'player_2': 'Candela Andújar', 'event': 'Substituição'}, {'time': 51, 'player_1': 'Jassina Blom', 'player_2': 'María José Pérez', 'event': 'Gol'}, {'time': 55, 'player_1': 'Natalia Ramos', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Olga San Nicolas', 'player_2': 'Ellen Jansen', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Silvia Doblado', 'player_2': 'Natalia Ramos', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Sydny Nasello', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Emma Tovar', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Beatrice Goad', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Saray López', 'player_2': 'Ainhoa Alguacil', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
5,13/02/22,Valência Feminino,Deportivo Alavés Feminino,1,0,"[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 6. Guerrero ', ' 1. Salón ']","[' 19. Real ', ' 21. Torrodà Ricart ', ' 30. Aguado ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 6. Guerrero ', ' 1. Salón ']","[{'time': 22, 'player_1': 'Gema Soliveres', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Bea Beltrán', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 30, 'player_1': 'Iina Salmi', 'player_2': 'Pênalti', 'event': ''}, {'time': 46, 'player_1': 'Alba', 'player_2': 'Gema Soliveres', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Asun Martínez', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Miku Ito', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 65, 'player_1': 'Sara Carrillo', 'player_2': 'Carla Armengol', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Nerea Nevado', 'player_2': 'Miku Ito', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Garazi Facila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Olga San Nicolas', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sanadri', 'player_2': 'Garazi Facila', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Abdulai Mukarama', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Elena Gil', 'player_2': 'Candela Andújar', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
6,06/02/22,Valência Feminino,Levante Feminino,2,0,"[' 30. Aguado ', ' 17. Jansen ', ' 15. Martín-Pozuelo Aranda ', ' 8. Andújar Jiménez ', ' 21. Torrodà Ricart ', ' 6. Guerrero ', ' 19. Real ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 1. Salón ']","[' 30. Aguado ', ' 17. Jansen ', ' 15. Martín-Pozuelo Aranda ', ' 8. Andújar Jiménez ', ' 21. Torrodà Ricart ', ' 6. Guerrero ', ' 19. Real ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 1. Salón ']","[{'time': 24, 'player_1': 'Candela Andújar', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Gol'}, {'time': 35, 'player_1': 'Julia Aguado', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Gio', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 44, 'player_1': 'Esther Martín-Pozuelo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Tatiana Pinto', 'player_2': 'Irene Guerrero', 'event': 'Substituição'}, {'time': 55, 'player_1': 'Anna Torrodà', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Gol'}, {'time': 58, 'player_1': 'Giovanna', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 58, 'player_1': 'Nataša Andonova', 'player_2': 'Leire Baños', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Iina Salmi', 'player_2': 'Julia Aguado', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Sofía Álvarez', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
7,02/02/22,Rayo Valhecano Feminino,Valência Feminino,1,1,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 14. Sancho González ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 5. Andújar Jiménez ', ' 3. Ballesté ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 14. Sancho González ', ' 4. García Villalba ', ' 10. Aedo ', ' 6. Fernández Jiménez ', ' 17. Cabral Vieira ', ' 5. Andújar Jiménez ', ' 3. Ballesté ', ' 22. Bores Vázquez ', ' 1. Larqué Juste ']","[{'time': 39, 'player_1': 'Candela Andújar', 'player_2': '', 'event': 'Gol'}, {'time': 50, 'player_1': 'Ellen Jansen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Asun Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Iina Salmi', 'player_2': 'Olga San Nicolas', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Slađana Bulatovic', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Paula Fernández', 'player_2': 'Isadora Freitas', 'event': 'Gol'}, {'time': 82, 'player_1': 'Kerlly Real', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Anna Torrodà', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Julia Aguado', 'player_2': 'Kerlly Real', 'event': 'Substituição'}, {'time': 90, 'player_1': 'LaiaBallesté', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 90, 'player_1': 'Leles', 'player_2': 'Yanara Aedo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 4'}]"
8,30/01/22,Valência Feminino,UDG Tenerife,1,2,"[' 7. Salmi ', ' 9. Martínez Salinas ', ' 8. Andújar Jiménez ', ' 6. Guerrero ', ' 5. Carro Nolasco ', ' 18. Altuve Mancilla ', ' 15. Martín-Pozuelo Aranda ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 19. Real ', ' 1. Salón ']","[' 7. Salmi ', ' 9. Martínez Salinas ', ' 8. Andújar Jiménez ', ' 6. Guerrero ', ' 5. Carro Nolasco ', ' 18. Altuve Mancilla ', ' 15. Martín-Pozuelo Aranda ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 19. Real ', ' 1. Salón ']","[{'time': 19, 'player_1': 'Jassina Blom', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 29, 'player_1': 'Aleksandra Zaremba', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 37, 'player_1': 'Jassina Blom', 'player_2': 'Pisco', 'event': 'Gol'}, {'time': 46, 'player_1': 'Ellen Jansen', 'player_2': 'Oriana Altuve', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Olga San Nicolas', 'player_2': 'Esther Martín-Pozuelo', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Iina Salmi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 52, 'player_1': 'Kerlly Real', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Iina Salmi', 'player_2': 'Pênalti', 'event': ''}, {'time': 65, 'player_1': 'Enith Salón', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Ange Nguessan', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Julia Aguado', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Aleksandra Zaremba', 'player_2': '', 'event': 'Gol'}, {'time': 70, 'player_1': 'María José Pérez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 79, 'player_1': 'Beatrice Goad', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Silvia Doblado', 'player_2': 'Claire Falknor', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Noelia Villegas', 'player_2': 'Marta Carro', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Sara Lopez', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
9,26/01/22,Juan Grande,Valência Feminino,0,1,"[' 4. Quintana Hernández ', ' 9. Parra Contreras ', ' 2. González Suárez ', ' 10. Rubio García ', ' 11. Godoy Duarte ', ' 20. Gómez Acevedo ', ' 21. Jiménez García ', ' 5. Ferrer Dolz ', ' 6. Santamaría Coleto ', ' 18. Bareiro Martínez ', ' 1. Recalde Cabanas ']","[' 4. Quintana Hernández ', ' 9. Parra Contreras ', ' 2. González Suárez ', ' 10. Rubio García ', ' 11. Godoy Duarte ', ' 20. Gómez Acevedo ', ' 21. Jiménez García ', ' 5. Ferrer Dolz ', ' 6. Santamaría Coleto ', ' 18. Bareiro Martínez ', ' 1. Recalde Cabanas ']","[{'time': 24, 'player_1': 'Olga San Nicolas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 27, 'player_1': 'Oriana Altuve', 'player_2': 'Marta Carro', 'event': 'Gol'}, {'time': 42, 'player_1': 'Esther Martín-Pozuelo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 53, 'player_1': 'Jyoeldry Parra', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 55, 'player_1': 'Raquel Quintana', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Wanda Gómez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Asun Martínez', 'player_2': 'Olga San Nicolas', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Asun Martínez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 67, 'player_1': 'Raquel Quintana', 'player_2': '', 'event': 'Segundo cartão amarelo'}, {'time': 69, 'player_1': 'Anna Lizarraga', 'player_2': 'Jyoeldry Parra', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Bea Beltrán', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Yanira Morán', 'player_2': 'Wanda Gómez', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Alba Quintana', 'player_2': 'Fanny Godoy', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Cristina Perdomo', 'player_2': 'Alba Santamaría', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Candela Andújar', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Campo de Fútbol de Juan Grande'}]"
