,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Barcelona Feminino,Villarreal Feminino,6,1,"[' 5. Serrano ', ' 18. Crnogorcevic ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 23. Syrstad Engen ', ' 14. Bonmatí ', ' 15. Ouhabi ', ' 2. Paredes ', ' 17. Pereira ', ' 8. Torrejón ', ' 24. Font Oliveras ']","[' 5. Serrano ', ' 18. Crnogorcevic ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 23. Syrstad Engen ', ' 14. Bonmatí ', ' 15. Ouhabi ', ' 2. Paredes ', ' 17. Pereira ', ' 8. Torrejón ', ' 24. Font Oliveras ']","[{'time': 12, 'player_1': 'Salma Paralluelo', 'player_2': 'Estefa', 'event': 'Gol'}, {'time': 46, 'player_1': 'María León', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Claudia Pina', 'player_2': 'Melani Serrano', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 48, 'player_1': 'Claudia Pina', 'player_2': 'Aitana Bonmatí', 'event': 'Gol'}, {'time': 50, 'player_1': 'Irene Paredes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 61, 'player_1': 'Ainoa Campo', 'player_2': 'Bea Prades', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 66, 'player_1': 'Ingrid Syrstad Engen', 'player_2': '', 'event': 'Gol'}, {'time': 67, 'player_1': 'Jennifer Hermoso', 'player_2': 'Alexia Putellas', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Zaira Flores', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Nerea Pérez', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Caroline Graham Hansen', 'player_2': 'Pênalti', 'event': ''}, {'time': 73, 'player_1': 'María Pérez', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Raquel Pinel', 'player_2': 'Salma Paralluelo', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
1,30/03/22,Valência Feminino,Villarreal Feminino,2,1,"[' 21. Torrodà Ricart ', ' 9. Martínez Salinas ', ' 15. Martín-Pozuelo Aranda ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 2. Pujadas Boix ', ' 1. Salón ']","[' 21. Torrodà Ricart ', ' 9. Martínez Salinas ', ' 15. Martín-Pozuelo Aranda ', ' 7. Salmi ', ' 8. Andújar Jiménez ', ' 17. Jansen ', ' 3. Beltrán Sanz ', ' 4. Jiménez ', ' 5. Carro Nolasco ', ' 2. Pujadas Boix ', ' 1. Salón ']","[{'time': 18, 'player_1': 'Francisca Lara', 'player_2': 'Salma Paralluelo', 'event': 'Gol'}, {'time': 33, 'player_1': 'Francisca Lara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 34, 'player_1': 'Bea Beltrán', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Estefa', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 45, 'player_1': 'Paola Soldevila', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Kerlly Real', 'player_2': 'Bea Beltrán', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Nerea Pérez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'María Jiménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 62, 'player_1': 'Julia Aguado', 'player_2': 'María Jiménez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Candela Andújar', 'player_2': 'Ellen Jansen', 'event': 'Gol'}, {'time': 71, 'player_1': 'Anna Torrodà', 'player_2': 'Iina Salmi', 'event': 'Gol'}, {'time': 72, 'player_1': 'Ainhoa Alguacil', 'player_2': 'Iina Salmi', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Belén', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Noelia Villegas', 'player_2': 'Berta Pujadas', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Antonio Puchades (Ciudad Deportiva Valencia)'}]"
2,26/03/22,Villarreal Feminino,Athletic Bilbao Feminino,1,1,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 20. Campo Franco ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 5. Giménez Gamboa ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 20. Campo Franco ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 5. Giménez Gamboa ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[{'time': 9, 'player_1': 'Itxaso Uriarte', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 58, 'player_1': 'Cienfu', 'player_2': 'Yenifer Giménez', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Lucía García', 'player_2': 'Yulema Corres', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Erika Vazquez', 'player_2': 'Eunate Arraiza', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Peke Barea', 'player_2': 'Itxaso Uriarte', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Clara Pinedo', 'player_2': '', 'event': 'Gol'}, {'time': 62, 'player_1': 'Raquel Pinel', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 75, 'player_1': 'Zaira Flores', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Salma Paralluelo', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Ane Azkona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 93, 'player_1': 'Estefa', 'player_2': 'Lara Mata', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
3,20/03/22,Villarreal Feminino,Levante Feminino,0,2,"[' 19. Martínez Sousa ', ' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 20. Campo Franco ', ' 6. Cienfuegos Baragaño ', ' 14. Pérez Machado ', ' 15. Lara ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 18. Soldevila de la Pisa ', ' 1. de Toro Aldaria ']","[' 19. Martínez Sousa ', ' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 20. Campo Franco ', ' 6. Cienfuegos Baragaño ', ' 14. Pérez Machado ', ' 15. Lara ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 18. Soldevila de la Pisa ', ' 1. de Toro Aldaria ']","[{'time': 19, 'player_1': 'Sandie Toletti', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 25, 'player_1': 'Alba Redondo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Sandie Toletti', 'player_2': 'Andrea Falcón', 'event': 'Gol'}, {'time': 64, 'player_1': 'Leire Baños', 'player_2': 'Aldana Cornetti', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Gio', 'player_2': 'Fiamma Iannuzzi', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Paula Tomás', 'player_2': 'Andrea Falcón', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Estefa', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Salma Paralluelo', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Irene Guerrero', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Alba Redondo', 'player_2': 'Gio', 'event': 'Gol'}, {'time': 85, 'player_1': 'Tatiana Pinto', 'player_2': 'Alba Redondo', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Carol', 'player_2': 'Nataša Andonova', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Zaira Flores', 'player_2': 'Ainoa Campo', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Raquel Pinel', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '20/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
4,02/03/22,Villarreal Feminino,Real Sociedad Feminino,1,2,"[' 17. Morató Armengol ', ' 10. Pinel Sáez ', ' 19. Martínez Sousa ', ' 16. Prades Insa ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 15. Lara ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 13. Tajonar ']","[' 17. Morató Armengol ', ' 10. Pinel Sáez ', ' 19. Martínez Sousa ', ' 16. Prades Insa ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 15. Lara ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 13. Tajonar ']","[{'time': 3, 'player_1': 'Nerea Eizagirre', 'player_2': 'Pênalti', 'event': ''}, {'time': 22, 'player_1': 'Synne Jensen', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 24, 'player_1': 'Nerea Eizagirre', 'player_2': 'Sanni Franssi', 'event': 'Gol'}, {'time': 32, 'player_1': 'Manuela Vanegas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Nerea Pérez', 'player_2': 'Olivia Oprea', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Yenifer Giménez', 'player_2': 'Irene Miguélez', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ainoa Campo', 'player_2': 'Raquel Pinel', 'event': 'Substituição'}, {'time': 67, 'player_1': 'Mirari Uria', 'player_2': 'Synne Jensen', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Gemma Gili', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Sheila Guijarro', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Izarne Sarasola', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 83, 'player_1': 'Iris Arnaiz', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 84, 'player_1': 'Cienfu', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Sheila Guijarro', 'player_2': 'Pênalti', 'event': ''}, {'time': 92, 'player_1': 'Allegra Poljak', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
5,13/02/22,UDG Tenerife,Villarreal Feminino,3,1,"[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[' 17. Pérez González ', ' 9. Martín-Prieto Gutierrez ', ' 7. Blom ', ' 6. Hernández Díaz ', ' 14. Ramos Álvarez ', ' 15. Hernandez ', ' 23. Peña Rodríguez ', ' 22. Gavira Collado ', ' 3. Cubedo Pitarch ', ' 11. Zaremba ', ' 24. Ramos Álvarez ']","[{'time': 24, 'player_1': 'María José Pérez', 'player_2': '', 'event': 'Gol'}, {'time': 27, 'player_1': 'María José Pérez', 'player_2': 'Cristina Martín-Prieto', 'event': 'Gol'}, {'time': 46, 'player_1': 'Bea Prades', 'player_2': 'Vera Rico', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Silvia Doblado', 'player_2': 'Paola Hernández', 'event': 'Substituição'}, {'time': 65, 'player_1': 'Gisela Robledo', 'player_2': 'María José Pérez', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Raquel Pinel', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Gisela Robledo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 77, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Ange Nguessan', 'player_2': 'Jassina Blom', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Sara Lopez', 'player_2': 'Sandra Hernandez', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Lara Mata', 'player_2': '', 'event': 'Gol'}, {'time': 83, 'player_1': 'Cristina Martín-Prieto', 'player_2': 'Ange Nguessan', 'event': 'Gol'}, {'time': 85, 'player_1': 'Sydny Nasello', 'player_2': 'Cristina Martín-Prieto', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Zaira Flores', 'player_2': 'Paola Soldevila', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Aixa García', 'player_2': 'Cienfu', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio La Palmera'}]"
6,06/02/22,Villarreal Feminino,Rayo Valhecano Feminino,1,0,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 4. Miguélez Martínez ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 15. Lara ', ' 21. Lima Díaz ', ' 18. Soldevila de la Pisa ', ' 22. Mata Caudevilla ', ' 4. Miguélez Martínez ', ' 14. Pérez Machado ', ' 1. de Toro Aldaria ']","[{'time': 36, 'player_1': 'Camila Saez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 40, 'player_1': 'Iris Ponciano', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 43, 'player_1': 'Pauleta', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Patricia Larqué', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 48, 'player_1': 'Estefa', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Leles', 'player_2': 'Millene Cabral', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vera Rico', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Sheila Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 90, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/02/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
7,02/02/22,Sevilha Feminino,Villarreal Feminino,0,3,"[' 21. del Estal Mateu ', ' 22. Vasconcelos ', ' 12. Araya ', ' 11. Oyedupe Payne ', ' 23. Gaitan ', ' 6. Calderón Rodríguez ', ' 15. Delgado Vega ', ' 5. Echeverri ', ' 3. Ramírez Ramos ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[' 21. del Estal Mateu ', ' 22. Vasconcelos ', ' 12. Araya ', ' 11. Oyedupe Payne ', ' 23. Gaitan ', ' 6. Calderón Rodríguez ', ' 15. Delgado Vega ', ' 5. Echeverri ', ' 3. Ramírez Ramos ', ' 17. García Mateo ', ' 24. Sullastres Ayuso ']","[{'time': 23, 'player_1': 'Débora García', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 33, 'player_1': 'Lucía', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 42, 'player_1': 'Yenifer Giménez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Grace Kazadi', 'player_2': 'Débora García', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Irene Miguélez', 'player_2': 'Yenifer Giménez', 'event': 'Substituição'}, {'time': 54, 'player_1': 'Teresa Morató', 'player_2': 'Lara Mata', 'event': 'Gol'}, {'time': 59, 'player_1': 'Francisca Lara', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Rosa Otermin', 'player_2': 'Elisa del Estal', 'event': 'Substituição'}, {'time': 61, 'player_1': 'Inma Gabarro', 'player_2': 'Karen Araya', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Sheila Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 66, 'player_1': 'Teresa Morató', 'player_2': 'Sheila Guijarro', 'event': 'Gol'}, {'time': 69, 'player_1': 'Klára Cahynová', 'player_2': 'Michele Vasconcelos', 'event': 'Substituição'}, {'time': 76, 'player_1': 'Nazareth Martín', 'player_2': 'Amparo Delgado', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Zaira Flores', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Raquel Pinel', 'player_2': 'Sheila Guijarro', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Vera Rico', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Olivia Oprea', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Klára Cahynová', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/02/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Jesús Navas'}]"
8,29/01/22,Villarreal Feminino,Real Sociedad Feminino,1,4,"[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 1. de Toro Aldaria ']","[' 9. Guijarro Gómez ', ' 17. Morató Armengol ', ' 19. Martínez Sousa ', ' 6. Cienfuegos Baragaño ', ' 12. Flores Nogueras ', ' 21. Lima Díaz ', ' 4. Miguélez Martínez ', ' 5. Giménez Gamboa ', ' 22. Mata Caudevilla ', ' 2. Oprea ', ' 1. de Toro Aldaria ']","[{'time': 18, 'player_1': 'Zaira Flores', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 29, 'player_1': 'Amaiur Sarriegi', 'player_2': 'Ane Etxezarreta', 'event': 'Gol'}, {'time': 47, 'player_1': 'Sanni Franssi', 'player_2': 'Iris Arnaiz', 'event': 'Gol'}, {'time': 50, 'player_1': 'Sanni Franssi', 'player_2': '', 'event': 'Gol'}, {'time': 53, 'player_1': 'Iris Arnaiz', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Maddi Torre', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Allegra Poljak', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Francisca Lara', 'player_2': 'Irene Miguélez', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Paola Soldevila', 'player_2': 'Zaira Flores', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Bea Prades', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Allegra Poljak', 'player_2': 'Nerea Eizagirre', 'event': 'Gol'}, {'time': 74, 'player_1': 'Sara Medina', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Claudia Fernández', 'player_2': 'Gabriela García', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Vera Rico', 'player_2': 'Teresa Morató', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Iraia Iparraguirre', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Synne Jensen', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 89, 'player_1': 'Sheila Guijarro', 'player_2': 'Francisca Lara', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '29/01/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva del Villarreal'}]"
9,26/01/22,CDEF Logrono,Villarreal Feminino,0,0,"[' 9. Garcia ', ' 17. Martínez Pérez ', ' 14. Aby ', ' 6. Moreno Beleño ', ' 21. Solow ', ' 26. Sánchez Durán ', ' 20. Valderas Martínez ', ' 25. Masferrer Cruz ', ' 3. Infante ', ' 5. Palacios Marí ', ' 1. Longa Bescos ']","[' 9. Garcia ', ' 17. Martínez Pérez ', ' 14. Aby ', ' 6. Moreno Beleño ', ' 21. Solow ', ' 26. Sánchez Durán ', ' 20. Valderas Martínez ', ' 25. Masferrer Cruz ', ' 3. Infante ', ' 5. Palacios Marí ', ' 1. Longa Bescos ']","[{'time': 46, 'player_1': 'Teresa Morató', 'player_2': 'Aixa García', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Fatou Coulibaly', 'player_2': 'Andrea Palacios', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Teresa Morató', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 64, 'player_1': 'Ana Hernández', 'player_2': 'Olga Garcia', 'event': 'Substituição'}, {'time': 64, 'player_1': 'Moa Öhman', 'player_2': 'Madison Solow', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Zaira Flores', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Sara Medina', 'player_2': 'Raquel Pinel', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Ida Guehai', 'player_2': 'Elena Martínez', 'event': 'Substituição'}, {'time': 86, 'player_1': 'Sara Bermell', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 88, 'player_1': 'Rebecca Elloh', 'player_2': 'Lourdes Moreno', 'event': 'Substituição'}, {'time': 90, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão vermelho'}, {'time': 90, 'player_1': 'Laura Royo', 'player_2': 'Lara Mata', 'event': 'Substituição'}, {'time': 105, 'player_1': 'Salma Paralluelo', 'player_2': 'Estefa', 'event': 'Substituição'}, {'time': 121, 'player_1': 'Laura Royo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 'Pen', 'player_1': 'Yenifer Giménez', 'player_2': 'Gol 0 - 1', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Ana Hernández', 'player_2': 'Gol 1 - 1', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Sara Medina', 'player_2': 'Gol 1 - 2', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Ida Guehai', 'player_2': 'Gol 2 - 2', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Zaira Flores', 'player_2': 'Gol 2 - 3', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Jessica Aby', 'player_2': 'Gol 3 - 3', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Salma Paralluelo', 'player_2': 'Falhou 3 - 3', 'event': 'Falhou'}, {'time': 'Pen', 'player_1': 'Rebecca Elloh', 'player_2': 'Falhou 3 - 3', 'event': 'Falhou'}, {'time': 'Pen', 'player_1': 'Teresa Morató', 'player_2': 'Gol 3 - 4', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Lorena Valderas', 'player_2': 'Gol 4 - 4', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Laura Royo', 'player_2': 'Gol 4 - 5', 'event': 'Gol'}, {'time': 'Pen', 'player_1': 'Raquel Infante', 'player_2': 'Falhou 4 - 5', 'event': 'Falhou'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '26/01/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Mundial 82'}]"
