,match_date,home_team,away_team,home_team_score,away_team_score,home_team_players,away_team_players,events,stats,infos
0,02/04/22,Barcelona Feminino,Villarreal Feminino,6,1,"[' 5. Serrano ', ' 18. Crnogorcevic ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 23. Syrstad Engen ', ' 14. Bonmatí ', ' 15. Ouhabi ', ' 2. Paredes ', ' 17. Pereira ', ' 8. Torrejón ', ' 24. Font Oliveras ']","[' 5. Serrano ', ' 18. Crnogorcevic ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 23. Syrstad Engen ', ' 14. Bonmatí ', ' 15. Ouhabi ', ' 2. Paredes ', ' 17. Pereira ', ' 8. Torrejón ', ' 24. Font Oliveras ']","[{'time': 12, 'player_1': 'Salma Paralluelo', 'player_2': 'Estefa', 'event': 'Gol'}, {'time': 46, 'player_1': 'María León', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Claudia Pina', 'player_2': 'Melani Serrano', 'event': 'Substituição'}, {'time': 47, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 48, 'player_1': 'Claudia Pina', 'player_2': 'Aitana Bonmatí', 'event': 'Gol'}, {'time': 50, 'player_1': 'Irene Paredes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 60, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 61, 'player_1': 'Ainoa Campo', 'player_2': 'Bea Prades', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 66, 'player_1': 'Ingrid Syrstad Engen', 'player_2': '', 'event': 'Gol'}, {'time': 67, 'player_1': 'Jennifer Hermoso', 'player_2': 'Alexia Putellas', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Zaira Flores', 'player_2': 'Cienfu', 'event': 'Substituição'}, {'time': 71, 'player_1': 'Nerea Pérez', 'player_2': 'Belén', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Caroline Graham Hansen', 'player_2': 'Pênalti', 'event': ''}, {'time': 73, 'player_1': 'María Pérez', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Raquel Pinel', 'player_2': 'Salma Paralluelo', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Sara Medina', 'player_2': 'Estefa', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '02/04/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
1,30/03/22,Barcelona Feminino,Real Madrid Feminino,5,2,"[' 6. Pina Medina ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 14. Bonmatí ', ' 16. Rolfo ', ' 4. León ', ' 2. Paredes ', ' 8. Torrejón ', ' 1. Paños ']","[' 6. Pina Medina ', ' 10. Hermoso ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 14. Bonmatí ', ' 16. Rolfo ', ' 4. León ', ' 2. Paredes ', ' 8. Torrejón ', ' 1. Paños ']","[{'time': 8, 'player_1': 'María León', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 12, 'player_1': 'Lucía Rodríguez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 15, 'player_1': 'Irene Paredes', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 16, 'player_1': 'Olga Carmona', 'player_2': 'Pênalti', 'event': ''}, {'time': 48, 'player_1': 'Claudia Zornoza', 'player_2': 'Maite Oroz', 'event': 'Gol'}, {'time': 52, 'player_1': 'Aitana Bonmatí', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 55, 'player_1': 'Claudia Pina', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 62, 'player_1': 'Alexia Putellas', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Nahikari García', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Caroline Graham Hansen', 'player_2': '', 'event': 'Gol'}, {'time': 72, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Leila Ouhabi', 'player_2': 'Jennifer Hermoso', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Marta Torrejón', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Sofie Svava', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Rocío Gálvez', 'player_2': 'Babett Peter', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Melani Serrano', 'player_2': 'Claudia Pina', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Claudia', 'player_2': 'Teresa Abelleira', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Alexia Putellas', 'player_2': '', 'event': 'Cartão amarelo'}]","[{'home_team_stat': '67%', 'away_team_stat': '33%', 'stat_name': 'POSSE DE BOLA'}, {'home_team_stat': '25', 'away_team_stat': '5', 'stat_name': 'TOTAL DE CHUTES'}, {'home_team_stat': '6', 'away_team_stat': '2', 'stat_name': 'CHUTES AO GOL'}, {'home_team_stat': '60%', 'away_team_stat': '40%', 'stat_name': 'DISPUTAS GANHAS'}]","[{'info_title': 'Competição', 'info_content': 'Liga dos Campeões Feminina da UEFA'}, {'info_title': 'Início', 'info_content': '30/03/22'}, {'info_title': 'Estádio', 'info_content': 'Camp Nou'}]"
2,26/03/22,Madrid CFF,Barcelona Feminino,1,2,"[' 23. Geyse ', ' 19. Madsen ', ' 18. Chikwelu ', ' 17. Youngju ', ' 6. Martinez Segarra ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 16. Pinillos Moreno ', ' 3. da Costa Silva ', ' 4. Daiane ', ' 1. Ulloa Jiménez ']","[' 23. Geyse ', ' 19. Madsen ', ' 18. Chikwelu ', ' 17. Youngju ', ' 6. Martinez Segarra ', ' 11. Bonsegundo ', ' 7. Domínguez Rojo ', ' 16. Pinillos Moreno ', ' 3. da Costa Silva ', ' 4. Daiane ', ' 1. Ulloa Jiménez ']","[{'time': 3, 'player_1': 'Geyse', 'player_2': '', 'event': 'Gol'}, {'time': 9, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 31, 'player_1': 'Antônia', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 38, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Alexia Putellas', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Silvia Rubio', 'player_2': 'Rita Chikwelu', 'event': 'Substituição'}, {'time': 48, 'player_1': 'Alexia Putellas', 'player_2': 'Jennifer Hermoso', 'event': 'Gol'}, {'time': 60, 'player_1': 'Marta Torrejón', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Júlia Bartel', 'player_2': 'Jennifer Hermoso', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Melani Serrano', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 69, 'player_1': 'Ebba Hed', 'player_2': 'Maria Bonsegundo', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Ana-Maria Crnogorcevic', 'player_2': 'Esther Laborde', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Monica', 'player_2': 'Daiane', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Victoria', 'player_2': 'Rikke Madsen', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '26/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Municipal Nuevo Matapiñonera'}]"
3,22/03/22,Real Madrid Feminino,Barcelona Feminino,1,3,"[' 10. Gonzalez ', ' 7. Carmona García ', ' 8. Oroz Areta ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 4. Peter ', ' 18. Rodríguez Herrero ', ' 1. Rodríguez Rivero ']","[' 10. Gonzalez ', ' 7. Carmona García ', ' 8. Oroz Areta ', ' 22. del Castillo Belvide ', ' 21. Zornoza Sánchez ', ' 3. Abelleira Dueñas ', ' 23. Svava ', ' 20. Gálvez Luna ', ' 4. Peter ', ' 18. Rodríguez Herrero ', ' 1. Rodríguez Rivero ']","[{'time': 8, 'player_1': 'Olga Carmona', 'player_2': 'Esther Gonzalez', 'event': 'Gol'}, {'time': 31, 'player_1': 'Aitana Bonmatí', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 35, 'player_1': 'Leila Ouhabi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 36, 'player_1': 'Olga Carmona', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Alexia Putellas', 'player_2': 'Pênalti', 'event': ''}, {'time': 65, 'player_1': 'Irene Paredes', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Ivana Andrés', 'player_2': 'Rocío Gálvez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 68, 'player_1': 'Teresa Abelleira', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 78, 'player_1': 'Nahikari García', 'player_2': 'Maite Oroz', 'event': 'Substituição'}, {'time': 78, 'player_1': 'Vaitiare Kenti Robles Salas', 'player_2': 'Lucía Rodríguez', 'event': 'Substituição'}, {'time': 81, 'player_1': 'Claudia Pina', 'player_2': '', 'event': 'Gol'}, {'time': 85, 'player_1': 'Esther Gonzalez', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 86, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 94, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}]","[{'home_team_stat': '35%', 'away_team_stat': '65%', 'stat_name': 'POSSE DE BOLA'}, {'home_team_stat': '6', 'away_team_stat': '18', 'stat_name': 'TOTAL DE CHUTES'}, {'home_team_stat': '3', 'away_team_stat': '5', 'stat_name': 'CHUTES AO GOL'}, {'home_team_stat': '43%', 'away_team_stat': '57%', 'stat_name': 'DISPUTAS GANHAS'}]","[{'info_title': 'Competição', 'info_content': 'Liga dos Campeões Feminina da UEFA'}, {'info_title': 'Início', 'info_content': '22/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadio Alfredo Di Stéfano'}]"
4,16/03/22,Real Sociedad Feminino,Barcelona Feminino,0,3,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 8. Arnaiz Gil ', ' 21. Gili ', ' 17. Poljak ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 18. Ramírez Gorgoso ', ' 25. Lete Para ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 7. Sarriegi Isasa ', ' 8. Arnaiz Gil ', ' 21. Gili ', ' 17. Poljak ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 6. Etxezarreta Ayerbe ', ' 18. Ramírez Gorgoso ', ' 25. Lete Para ']","[{'time': 10, 'player_1': 'Claudia Pina', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 44, 'player_1': 'Patricia Guijarro', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Fridolina Rolfo', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 46, 'player_1': 'Gabriela García', 'player_2': 'Allegra Poljak', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Alexia Putellas', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 56, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 57, 'player_1': 'Manuela Vanegas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 59, 'player_1': 'Alexia Putellas', 'player_2': '', 'event': 'Gol'}, {'time': 69, 'player_1': 'Jennifer Hermoso', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Andrea Pereira', 'player_2': 'Claudia Pina', 'event': 'Substituição'}, {'time': 70, 'player_1': 'Synne Jensen', 'player_2': 'Amaiur Sarriegi', 'event': 'Substituição'}, {'time': 77, 'player_1': 'Melani Serrano', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 78, 'player_1': 'María Pérez', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Mirari Uria', 'player_2': 'Gemma Gili', 'event': 'Substituição'}, {'time': 87, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 91, 'player_1': 'Gabriela García', 'player_2': '', 'event': 'Cartão amarelo'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '16/03/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
5,13/03/22,Barcelona Feminino,Real Madrid Feminino,5,0,"[' 14. Bonmatí ', ' 16. Rolfo ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 10. Hermoso ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 1. Paños ']","[' 14. Bonmatí ', ' 16. Rolfo ', ' 7. Graham Hansen ', ' 11. Putellas ', ' 12. Guijarro ', ' 10. Hermoso ', ' 15. Ouhabi ', ' 4. León ', ' 17. Pereira ', ' 8. Torrejón ', ' 1. Paños ']","[{'time': 41, 'player_1': 'Alexia Putellas', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 43, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Sofie Svava', 'player_2': 'Aurélie Kaci', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Patricia Guijarro', 'player_2': '', 'event': 'Gol'}, {'time': 65, 'player_1': 'Babett Peter', 'player_2': 'Gol contra', 'event': 'Gol contra'}, {'time': 66, 'player_1': 'Nahikari García', 'player_2': 'Esther Gonzalez', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Caroline Møller', 'player_2': 'Olga Carmona', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 69, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 75, 'player_1': 'Ona Baradad', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Jennifer Hermoso', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 83, 'player_1': 'Melani Serrano', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 83, 'player_1': 'María Pérez', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia', 'player_2': 'Athenea del Castillo', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/03/22'}, {'info_title': 'Estádio', 'info_content': 'Estadi Johan Cruyff'}]"
6,06/03/22,Deportivo Alavés Feminino,Barcelona Feminino,0,6,"[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 6. Soliveres Cholbi ', ' 14. Diéguez de Oña ', ' 10. Aznar Martí ', ' 12. Facila ', ' 21. Martínez Viota ', ' 2. García Majarín ', ' 5. Urruzola Bermúdez ', ' 4. Gastearena Artola ', ' 1. Cornejo Vega ']","[' 19. Carrillo ', ' 18. Chamorro Gómez ', ' 6. Soliveres Cholbi ', ' 14. Diéguez de Oña ', ' 10. Aznar Martí ', ' 12. Facila ', ' 21. Martínez Viota ', ' 2. García Majarín ', ' 5. Urruzola Bermúdez ', ' 4. Gastearena Artola ', ' 1. Cornejo Vega ']","[{'time': 13, 'player_1': 'Claudia Pina', 'player_2': 'Fridolina Rolfo', 'event': 'Gol'}, {'time': 29, 'player_1': 'Fridolina Rolfo', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 33, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Claudia Pina', 'event': 'Gol'}, {'time': 35, 'player_1': 'Ona Baradad', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 38, 'player_1': 'Melani Serrano', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Jennifer Hermoso', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Aitana Bonmatí', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Caroline Graham Hansen', 'player_2': 'Ona Baradad', 'event': 'Substituição'}, {'time': 59, 'player_1': 'Player 0', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 61, 'player_1': 'Jordan Clark', 'player_2': 'Gema Soliveres', 'event': 'Substituição'}, {'time': 62, 'player_1': 'Mery', 'player_2': 'Sara Carrillo', 'event': 'Substituição'}, {'time': 63, 'player_1': 'María León', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 66, 'player_1': 'Claudia Pina', 'player_2': 'Alexia Putellas', 'event': 'Gol'}, {'time': 68, 'player_1': 'Gaste', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 71, 'player_1': 'María Pérez', 'player_2': 'María León', 'event': 'Substituição'}, {'time': 73, 'player_1': 'Claudia Pina', 'player_2': 'Caroline Graham Hansen', 'event': 'Gol'}, {'time': 74, 'player_1': 'Ane Miren', 'player_2': 'Lice Chamorro', 'event': 'Substituição'}, {'time': 74, 'player_1': 'Miku Ito', 'player_2': 'Alba', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Carla Armengol', 'player_2': 'Gaste', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '06/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva José Luis Compañón'}]"
7,02/03/22,Rayo Valhecano Feminino,Barcelona Feminino,1,3,"[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 18. Saez ', ' 4. García Villalba ', ' 27. Cabezas Damasiewicz ', ' 6. Fernández Jiménez ', ' 5. Andújar Jiménez ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 3. Ballesté ', ' 13. Goméz Camino ']","[' 9. Damasceno Freitas ', ' 7. Ponciano del Río ', ' 18. Saez ', ' 4. García Villalba ', ' 27. Cabezas Damasiewicz ', ' 6. Fernández Jiménez ', ' 5. Andújar Jiménez ', ' 22. Bores Vázquez ', ' 14. Sancho González ', ' 3. Ballesté ', ' 13. Goméz Camino ']","[{'time': 3, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 19, 'player_1': 'Claudia Pina', 'player_2': 'Lieke Martens', 'event': 'Substituição'}, {'time': 42, 'player_1': 'Alexia Putellas', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 46, 'player_1': 'María Molina', 'player_2': 'Andrea Pereira', 'event': 'Substituição'}, {'time': 53, 'player_1': 'Jennifer Hermoso', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 58, 'player_1': 'Leila Ouhabi', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 63, 'player_1': 'Martina Fernández', 'player_2': 'Ona Baradad', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 63, 'player_1': 'María Pérez', 'player_2': 'Alexia Putellas', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Millene Cabral', 'player_2': 'Claudia Cabezas', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Isadora Freitas', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 74, 'player_1': 'Yanara Aedo', 'player_2': 'Iris Ponciano', 'event': 'Substituição'}, {'time': 80, 'player_1': 'Marta Torrejón', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 82, 'player_1': 'Paula Fernández', 'player_2': 'Pênalti', 'event': ''}, {'time': 84, 'player_1': 'Esther Calderón', 'player_2': 'Paula Andújar', 'event': 'Substituição'}, {'time': 84, 'player_1': 'Danielle Hayden', 'player_2': 'María Bores', 'event': 'Substituição'}, {'time': 85, 'player_1': 'Slađana Bulatovic', 'player_2': 'Isadora Freitas', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Copa de la Reina'}, {'info_title': 'Início', 'info_content': '02/03/22'}, {'info_title': 'Estádio', 'info_content': 'Ciudad Deportiva Rayo Vallecano Campo 5 (Stadium)'}]"
8,13/02/22,Athletic Bilbao Feminino,Barcelona Feminino,0,3,"[' 17. García ', ' 14. Arraiza ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 8. Unzue Urdaniz ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[' 17. García ', ' 14. Arraiza ', ' 22. Barea Nuñez ', ' 16. Azkona Fuente ', ' 18. Uriarte Santamaría ', ' 8. Unzue Urdaniz ', ' 3. Vicente ', ' 4. Murua Astorkiza ', ' 6. Valdezate Cabornero ', ' 11. Hernández Zurbano ', ' 24. Quiñones ']","[{'time': 35, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 41, 'player_1': 'Marta Torrejón', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Irene Oguiza', 'player_2': 'Marta Unzue', 'event': 'Substituição'}, {'time': 50, 'player_1': 'Asisat Oshoala', 'player_2': 'Marta Torrejón', 'event': 'Gol'}, {'time': 62, 'player_1': 'Mariona Caldentey', 'player_2': '', 'event': 'Gol'}, {'time': 63, 'player_1': 'Fridolina Rolfo', 'player_2': 'Leila Ouhabi', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Aitana Bonmatí', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Ingrid Syrstad Engen', 'player_2': 'Patricia Guijarro', 'event': 'Substituição'}, {'time': 66, 'player_1': 'Mariona Caldentey', 'player_2': '', 'event': 'Cartão amarelo'}, {'time': 72, 'player_1': 'Claudia Pina', 'player_2': 'Mariona Caldentey', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Paula Arana', 'player_2': 'Peke Barea', 'event': 'Substituição'}, {'time': 82, 'player_1': 'Erika Vazquez', 'player_2': 'Ane Azkona', 'event': 'Substituição'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '13/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Lezama Campo 2'}]"
9,09/02/22,Real Sociedad Feminino,Barcelona Feminino,1,9,"[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 27. Uria Gabilondo ', ' 21. Gili ', ' 8. Arnaiz Gil ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 3. Tejada Jiménez ', ' 2. Iparraguirre Argandoña ', ' 1. Nanclares Romero ']","[' 10. Eizagirre Lasa ', ' 9. Franssi ', ' 27. Uria Gabilondo ', ' 21. Gili ', ' 8. Arnaiz Gil ', ' 16. García Segura ', ' 19. Rábano Blanco ', ' 22. Vanegas Cataño ', ' 3. Tejada Jiménez ', ' 2. Iparraguirre Argandoña ', ' 1. Nanclares Romero ']","[{'time': 10, 'player_1': 'Asisat Oshoala', 'player_2': '', 'event': 'Gol'}, {'time': 46, 'player_1': 'Asisat Oshoala', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 46, 'player_1': 'Izarne Sarasola', 'player_2': 'Nuria Rábano', 'event': 'Substituição'}, {'time': 46, 'player_1': 'Amaiur Sarriegi', 'player_2': 'Sanni Franssi', 'event': 'Substituição'}, {'time': 56, 'player_1': 'Fridolina Rolfo', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 59, 'player_1': 'Irene Paredes', 'player_2': 'María León', 'event': 'Gol'}, {'time': 60, 'player_1': 'Mariona Caldentey', 'player_2': 'Caroline Graham Hansen', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Claudia Pina', 'player_2': 'Aitana Bonmatí', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Jennifer Hermoso', 'player_2': 'Asisat Oshoala', 'event': 'Substituição'}, {'time': 60, 'player_1': 'Synne Jensen', 'player_2': 'Mirari Uria', 'event': 'Substituição'}, {'time': 63, 'player_1': 'Lieke Martens', 'player_2': '', 'event': 'Gol'}, {'time': 72, 'player_1': 'Andrea Pereira', 'player_2': 'Irene Paredes', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Emma Ramírez', 'player_2': 'Nerea Eizagirre', 'event': 'Substituição'}, {'time': 72, 'player_1': 'Leila Ouhabi', 'player_2': 'Fridolina Rolfo', 'event': 'Substituição'}, {'time': 79, 'player_1': 'Alexia Putellas', 'player_2': 'Patricia Guijarro', 'event': 'Gol'}, {'time': 80, 'player_1': 'Elene Viles', 'player_2': 'Iris Arnaiz', 'event': 'Substituição'}, {'time': 83, 'player_1': 'Claudia Pina', 'player_2': 'Leila Ouhabi', 'event': 'Gol'}, {'time': 87, 'player_1': 'Jennifer Hermoso', 'player_2': '', 'event': 'Gol'}, {'time': 89, 'player_1': 'Emma Ramírez', 'player_2': '', 'event': 'Gol'}, {'time': 92, 'player_1': 'Marta Torrejón', 'player_2': 'Lieke Martens', 'event': 'Gol'}]",[],"[{'info_title': 'Competição', 'info_content': 'Primeira Divisão'}, {'info_title': 'Início', 'info_content': '09/02/22'}, {'info_title': 'Estádio', 'info_content': 'Instalaciones de Zubieta'}]"
